company,horizon,down,flat,up
Alphabet Inc.,1,0.36423841059602646,0.16556291390728478,0.47019867549668876
Alphabet Inc.,1,0.26436781609195403,0.20689655172413793,0.5287356321839081
Alphabet Inc.,1,0.20298507462686566,0.1761194029850746,0.6208955223880597
"Amazon.com, Inc.",1,0.5815384615384616,0.12307692307692308,0.2953846153846154
"Amazon.com, Inc.",1,0.47297297297297297,0.16216216216216217,0.36486486486486486
"Amazon.com, Inc.",1,0.39634146341463417,0.13414634146341464,0.4695121951219512
Apple Inc.,1,0.2764505119453925,0.3174061433447099,0.4061433447098976
Apple Inc.,1,0.12871287128712872,0.42574257425742573,0.44554455445544555
Apple Inc.,1,0.17117117117117117,0.3483483483483483,0.4804804804804805
"Meta Platforms, Inc.",1,0.5198412698412699,0.21825396825396826,0.2619047619047619
"Meta Platforms, Inc.",1,0.38181818181818183,0.36363636363636365,0.2545454545454545
"Meta Platforms, Inc.",1,0.34459459459459457,0.33783783783783783,0.31756756756756754
Microsoft Corporation,1,0.21754385964912282,0.07017543859649122,0.712280701754386
Microsoft Corporation,1,0.1111111111111111,0.14814814814814814,0.7407407407407407
Microsoft Corporation,1,0.10479041916167664,0.0718562874251497,0.8233532934131736
NVIDIA Corporation,1,0.47115384615384615,0.003205128205128205,0.5256410256410257
NVIDIA Corporation,1,0.4117647058823529,0.0,0.5882352941176471
NVIDIA Corporation,1,0.42191780821917807,0.021917808219178082,0.5561643835616439
"Tesla, Inc.",1,0.3764705882352941,0.46176470588235297,0.16176470588235295
"Tesla, Inc.",1,0.22448979591836735,0.5510204081632653,0.22448979591836735
"Tesla, Inc.",1,0.2064516129032258,0.43548387096774194,0.3580645161290323
Alphabet Inc.,2,0.1758957654723127,0.23127035830618892,0.5928338762214984
Alphabet Inc.,2,0.05555555555555555,0.2777777777777778,0.6666666666666666
Alphabet Inc.,2,0.1046831955922865,0.1790633608815427,0.7162534435261708
"Amazon.com, Inc.",2,0.5244956772334294,0.14121037463976946,0.33429394812680113
"Amazon.com, Inc.",2,0.42857142857142855,0.16666666666666666,0.40476190476190477
"Amazon.com, Inc.",2,0.46745562130177515,0.15680473372781065,0.3757396449704142
Apple Inc.,2,0.15666666666666668,0.44333333333333336,0.4
Apple Inc.,2,0.08771929824561403,0.49122807017543857,0.42105263157894735
Apple Inc.,2,0.13783783783783785,0.46756756756756757,0.3945945945945946
"Meta Platforms, Inc.",2,0.5283018867924528,0.1169811320754717,0.35471698113207545
"Meta Platforms, Inc.",2,0.55,0.1,0.35
"Meta Platforms, Inc.",2,0.41823899371069184,0.22641509433962265,0.3553459119496855
Microsoft Corporation,2,0.16943521594684385,0.046511627906976744,0.7840531561461794
Microsoft Corporation,2,0.18518518518518517,0.037037037037037035,0.7777777777777778
Microsoft Corporation,2,0.15591397849462366,0.03763440860215054,0.8064516129032258
NVIDIA Corporation,2,0.29354838709677417,0.06451612903225806,0.6419354838709678
NVIDIA Corporation,2,0.3103448275862069,0.06896551724137931,0.6206896551724138
NVIDIA Corporation,2,0.2750642673521851,0.05912596401028278,0.6658097686375322
"Tesla, Inc.",2,0.44,0.37142857142857144,0.18857142857142858
"Tesla, Inc.",2,0.16666666666666666,0.5,0.3333333333333333
"Tesla, Inc.",2,0.3323262839879154,0.40181268882175225,0.26586102719033233
Alphabet Inc.,3,0.21712538226299694,0.1712538226299694,0.6116207951070336
Alphabet Inc.,3,0.21621621621621623,0.32432432432432434,0.4594594594594595
Alphabet Inc.,3,0.16666666666666666,0.15,0.6833333333333333
"Amazon.com, Inc.",3,0.45244956772334294,0.2276657060518732,0.31988472622478387
"Amazon.com, Inc.",3,0.1951219512195122,0.4146341463414634,0.3902439024390244
"Amazon.com, Inc.",3,0.4218289085545723,0.24188790560471976,0.336283185840708
Apple Inc.,3,0.11214953271028037,0.08099688473520249,0.8068535825545171
Apple Inc.,3,0.075,0.125,0.8
Apple Inc.,3,0.04918032786885246,0.09562841530054644,0.855191256830601
"Meta Platforms, Inc.",3,0.4115384615384615,0.2,0.38846153846153847
"Meta Platforms, Inc.",3,0.52,0.24,0.24
"Meta Platforms, Inc.",3,0.41823899371069184,0.20754716981132076,0.3742138364779874
Microsoft Corporation,3,0.1716171617161716,0.14521452145214522,0.6831683168316832
Microsoft Corporation,3,0.09615384615384616,0.09615384615384616,0.8076923076923077
Microsoft Corporation,3,0.16129032258064516,0.11290322580645161,0.7258064516129032
NVIDIA Corporation,3,0.19365079365079366,0.02857142857142857,0.7777777777777778
NVIDIA Corporation,3,0.07142857142857142,0.0,0.9285714285714286
NVIDIA Corporation,3,0.15789473684210525,0.06015037593984962,0.7819548872180451
"Tesla, Inc.",3,0.34593023255813954,0.38372093023255816,0.2703488372093023
"Tesla, Inc.",3,0.11764705882352941,0.35294117647058826,0.5294117647058824
"Tesla, Inc.",3,0.2344213649851632,0.35014836795252224,0.41543026706231456
Alphabet Inc.,4,0.1419753086419753,0.25617283950617287,0.6018518518518519
Alphabet Inc.,4,0.2647058823529412,0.20588235294117646,0.5294117647058824
Alphabet Inc.,4,0.10382513661202186,0.20765027322404372,0.6885245901639344
"Amazon.com, Inc.",4,0.3558823529411765,0.29705882352941176,0.34705882352941175
"Amazon.com, Inc.",4,0.2972972972972973,0.3783783783783784,0.32432432432432434
"Amazon.com, Inc.",4,0.32,0.3057142857142857,0.3742857142857143
Apple Inc.,4,0.19047619047619047,0.13015873015873017,0.6793650793650794
Apple Inc.,4,0.17777777777777778,0.0,0.8222222222222222
Apple Inc.,4,0.11171662125340599,0.11444141689373297,0.773841961852861
"Meta Platforms, Inc.",4,0.5210727969348659,0.011494252873563218,0.4674329501915709
"Meta Platforms, Inc.",4,0.5625,0.125,0.3125
"Meta Platforms, Inc.",4,0.549079754601227,0.012269938650306749,0.4386503067484663
Microsoft Corporation,4,0.16556291390728478,0.09933774834437085,0.7350993377483444
Microsoft Corporation,4,0.21428571428571427,0.09523809523809523,0.6904761904761905
Microsoft Corporation,4,0.1566579634464752,0.06527415143603134,0.7780678851174935
NVIDIA Corporation,4,0.16286644951140064,0.09446254071661238,0.742671009771987
NVIDIA Corporation,4,0.0,0.05555555555555555,0.9444444444444444
NVIDIA Corporation,4,0.1791044776119403,0.12686567164179105,0.6940298507462687
"Tesla, Inc.",4,0.5901162790697675,0.2558139534883721,0.15406976744186046
"Tesla, Inc.",4,0.4375,0.4375,0.125
"Tesla, Inc.",4,0.4349112426035503,0.34023668639053256,0.22485207100591717
Alphabet Inc.,5,0.08682634730538923,0.4550898203592814,0.45808383233532934
Alphabet Inc.,5,0.18518518518518517,0.5925925925925926,0.2222222222222222
Alphabet Inc.,5,0.05785123966942149,0.4022038567493113,0.5399449035812672
"Amazon.com, Inc.",5,0.3860182370820669,0.3009118541033435,0.3130699088145897
"Amazon.com, Inc.",5,0.30303030303030304,0.2727272727272727,0.42424242424242425
"Amazon.com, Inc.",5,0.32054794520547947,0.35342465753424657,0.32602739726027397
Apple Inc.,5,0.10793650793650794,0.5428571428571428,0.3492063492063492
Apple Inc.,5,0.07317073170731707,0.4634146341463415,0.4634146341463415
Apple Inc.,5,0.08648648648648649,0.46216216216216216,0.45135135135135135
"Meta Platforms, Inc.",5,0.2727272727272727,0.2603305785123967,0.4669421487603306
"Meta Platforms, Inc.",5,0.3,0.35,0.35
"Meta Platforms, Inc.",5,0.33724340175953077,0.31085043988269795,0.3519061583577713
Microsoft Corporation,5,0.15254237288135594,0.11186440677966102,0.735593220338983
Microsoft Corporation,5,0.18181818181818182,0.18181818181818182,0.6363636363636364
Microsoft Corporation,5,0.16331658291457288,0.10050251256281408,0.7361809045226131
NVIDIA Corporation,5,0.13945578231292516,0.35714285714285715,0.5034013605442177
NVIDIA Corporation,5,0.2777777777777778,0.2777777777777778,0.4444444444444444
NVIDIA Corporation,5,0.21927710843373494,0.25542168674698795,0.5253012048192771
"Tesla, Inc.",5,0.6210826210826211,0.18233618233618235,0.19658119658119658
"Tesla, Inc.",5,0.5,0.1875,0.3125
"Tesla, Inc.",5,0.5468277945619335,0.21148036253776434,0.24169184290030213
