mae,rmse,mape,r2,company,split,model
0.6949668549856891,0.9189287589162373,0.028299918625926245,0.9545118714978585,Alphabet Inc.,0,Linear Baseline
0.6101739568331215,0.8939369200999988,0.017013899009632107,0.9778790371898776,Alphabet Inc.,1,Linear Baseline
1.0782372104209061,1.5019899863397321,0.018891651315927113,0.9417834335606414,Alphabet Inc.,2,Linear Baseline
2.5430745251727678,3.48918125607873,0.024432216960843953,0.9840666834837115,Alphabet Inc.,3,Linear Baseline
3.3659193738269044,4.563571447740714,0.02469640014634677,0.97989423569796,Alphabet Inc.,4,Linear Baseline
0.3479234168074263,0.48016092298513496,0.022989359271232877,0.955640760098545,"Amazon.com, Inc.",0,Linear Baseline
0.7134087154383018,0.992563661533968,0.022290796155679575,0.9887312447633209,"Amazon.com, Inc.",1,Linear Baseline
1.7416729647914848,2.504566897789329,0.02158487526390428,0.9724143321285623,"Amazon.com, Inc.",2,Linear Baseline
4.31076065175839,5.808433095680491,0.030163131120090163,0.9377553789255823,"Amazon.com, Inc.",3,Linear Baseline
3.7412288790169343,5.097463879316405,0.025669626442841913,0.9852862618585163,"Amazon.com, Inc.",4,Linear Baseline
0.435436056447407,0.5920835112365659,0.021841310673447606,0.976857290024544,Apple Inc.,0,Linear Baseline
0.5265147296240046,0.732937076376217,0.018128110780004644,0.9680291342707212,Apple Inc.,1,Linear Baseline
0.9914026350379949,1.3509951643392601,0.020242248727175685,0.9820637630818407,Apple Inc.,2,Linear Baseline
3.3709695379618374,4.536438257128074,0.026813650158575182,0.9777878291013697,Apple Inc.,3,Linear Baseline
3.7843974331406662,5.122552697931937,0.020495604202837678,0.9745563619453966,Apple Inc.,4,Linear Baseline
1.886642390330182,2.8413592144459883,0.020182979265762607,0.9713350082030825,"Meta Platforms, Inc.",0,Linear Baseline
3.0779153240361614,5.05278707970147,0.01896917696540648,0.9536984404302332,"Meta Platforms, Inc.",1,Linear Baseline
5.617230081709115,7.955325033691414,0.028061195986733862,0.9630118290972316,"Meta Platforms, Inc.",2,Linear Baseline
7.994401557240815,11.84926454916382,0.03675176694100213,0.9805447486700469,"Meta Platforms, Inc.",3,Linear Baseline
11.550965876181035,16.259538213803598,0.027772600348306215,0.9877995613267382,"Meta Platforms, Inc.",4,Linear Baseline
0.7337980745255327,1.008789295960033,0.02000758904751569,0.976820352628847,Microsoft Corporation,0,Linear Baseline
