company,base_date,base_close,target_date,horizon,actual_close,predicted_close,actual_ret,predicted_ret,actual_dir,predicted_dir,hit
Alphabet Inc.,2022-03-11,130.48,2022-03-15,2,129.66,132.1932199687494,-0.006284488044144645,0.013130134647067747,down,up,0.0
Alphabet Inc.,2022-03-11,130.48,2022-03-16,3,133.69,132.39901833006874,0.02460147148988357,0.01470737530708731,up,up,1.0
Alphabet Inc.,2022-03-11,130.48,2022-03-17,4,134.6,132.5691874644002,0.03157572041692217,0.016011553221951236,up,up,1.0
Alphabet Inc.,2022-03-11,130.48,2022-03-18,5,136.8,132.54520090803504,0.04843654199877393,0.015827720018662266,up,up,1.0
Alphabet Inc.,2022-03-14,126.74,2022-03-15,1,129.66,128.05926979430777,0.02303929304087109,0.010409261435283035,up,up,1.0
Alphabet Inc.,2022-03-14,126.74,2022-03-16,2,133.69,128.14497618577528,0.05483667350481303,0.01108549933545276,up,up,1.0
Alphabet Inc.,2022-03-14,126.74,2022-03-17,3,134.6,128.72923954027365,0.06201672715796118,0.015695435855086464,up,up,1.0
Alphabet Inc.,2022-03-14,126.74,2022-03-18,4,136.8,128.85729442014699,0.07937509862711076,0.01670581047930401,up,up,1.0
Alphabet Inc.,2022-03-14,126.74,2022-03-21,5,136.48,128.56027000941674,0.0768502445952343,0.014362237726185462,up,up,1.0
Alphabet Inc.,2022-03-15,129.66,2022-03-16,1,133.69,128.9827940132596,0.031081289526453813,-0.005222936809659138,up,down,0.0
Alphabet Inc.,2022-03-15,129.66,2022-03-17,2,134.6,129.57350917163674,0.038099645225975615,-0.000667058679340221,up,flat,0.0
Alphabet Inc.,2022-03-15,129.66,2022-03-18,3,136.8,129.64461056798976,0.05506709856547906,-0.00011869066797962459,up,flat,0.0
Alphabet Inc.,2022-03-15,129.66,2022-03-21,4,136.48,129.29117172446843,0.05259910535246023,-0.0028445802524415375,up,down,0.0
Alphabet Inc.,2022-03-15,129.66,2022-03-22,5,140.28,129.79097884507001,0.08190652475705695,0.0010101715646307129,up,flat,0.0
Alphabet Inc.,2022-03-16,133.69,2022-03-17,1,134.6,132.83932617539543,0.006806791831849776,-0.0063630325724030965,up,down,0.0
Alphabet Inc.,2022-03-16,133.69,2022-03-18,2,136.8,133.10830902981536,0.023262772084673602,-0.004351043235729213,up,down,0.0
Alphabet Inc.,2022-03-16,133.69,2022-03-21,3,136.48,132.60281536496208,0.02086917495698999,-0.008132131311526026,up,down,0.0
Alphabet Inc.,2022-03-16,133.69,2022-03-22,4,140.28,132.99451557705896,0.049293140848231005,-0.005202217240938257,up,down,0.0
Alphabet Inc.,2022-03-16,133.69,2022-03-23,5,138.5,133.1844575643953,0.03597875682549183,-0.0037814528805796663,up,down,0.0
Alphabet Inc.,2022-03-17,134.6,2022-03-18,1,136.8,134.3771648805194,0.016344725111441433,-0.0016555358059480434,up,flat,0.0
Alphabet Inc.,2022-03-17,134.6,2022-03-21,2,136.48,133.83420464227078,0.013967310549777083,-0.0056894157335008735,up,down,0.0
Alphabet Inc.,2022-03-17,134.6,2022-03-22,3,140.28,134.08048603352,0.04219910846953943,-0.0038596877153045397,up,down,0.0
Alphabet Inc.,2022-03-17,134.6,2022-03-23,4,138.5,134.17072140703945,0.02897473997028236,-0.003189291180984717,up,down,0.0
Alphabet Inc.,2022-03-17,134.6,2022-03-24,5,141.31,134.48650491293353,0.04985141158989605,-0.0008432027270911454,up,flat,0.0
Alphabet Inc.,2022-03-18,136.8,2022-03-21,1,136.48,134.66834047547692,-0.0023391812865498655,-0.015582306465812039,down,down,1.0
Alphabet Inc.,2022-03-18,136.8,2022-03-22,2,140.28,134.8294566729514,0.025438596491227993,-0.01440455648427341,up,down,0.0
Alphabet Inc.,2022-03-18,136.8,2022-03-23,3,138.5,134.8400515459295,0.012426900584795238,-0.014327108582386793,up,down,0.0
Alphabet Inc.,2022-03-18,136.8,2022-03-24,4,141.31,135.0345115054184,0.032967836257309875,-0.012905617650450318,up,down,0.0
Alphabet Inc.,2022-03-18,136.8,2022-03-25,5,141.52,134.89820144507416,0.034502923976608174,-0.013902036220218178,up,down,0.0
Alphabet Inc.,2022-03-21,136.48,2022-03-22,1,140.28,136.71871287438708,0.027842907385697623,0.0017490685403508965,up,flat,0.0
Alphabet Inc.,2022-03-21,136.48,2022-03-23,2,138.5,136.71352672348692,0.01480070339976561,0.0017110691931926441,up,flat,0.0
Alphabet Inc.,2022-03-21,136.48,2022-03-24,3,141.31,136.77462961921248,0.03538980070339986,0.00215877505284647,up,up,1.0
Alphabet Inc.,2022-03-21,136.48,2022-03-25,4,141.52,136.48846936219633,0.036928487690504254,6.20557019075085e-05,up,flat,0.0
Alphabet Inc.,2022-03-21,136.48,2022-03-28,5,141.95,136.04908501553177,0.040079132473622506,-0.003157348948331014,up,down,0.0
Alphabet Inc.,2022-03-22,140.28,2022-03-23,1,138.5,138.7803443820233,-0.012688907898488744,-0.010690444952785243,down,down,1.0
Alphabet Inc.,2022-03-22,140.28,2022-03-24,2,141.31,139.130000794818,0.007342457941260344,-0.008197884268477423,up,down,0.0
Alphabet Inc.,2022-03-22,140.28,2022-03-25,3,141.52,138.7905888076302,0.008839463929284353,-0.010617416540988028,up,down,0.0
Alphabet Inc.,2022-03-22,140.28,2022-03-28,4,141.95,138.39862077016463,0.011904761904761816,-0.013411599870511652,up,down,0.0
Alphabet Inc.,2022-03-22,140.28,2022-03-29,5,143.25,138.57972383725917,0.021171941830624458,-0.012120588556749606,up,down,0.0
Alphabet Inc.,2022-03-23,138.5,2022-03-24,1,141.31,139.12743320149877,0.020288808664259944,0.004530203620929782,up,up,1.0
Alphabet Inc.,2022-03-23,138.5,2022-03-25,2,141.52,138.8018707708779,0.021805054151624623,0.0021795723529091106,up,up,1.0
Alphabet Inc.,2022-03-23,138.5,2022-03-28,3,141.95,138.45449563539796,0.02490974729241869,-0.00032855136896778737,up,flat,0.0
Alphabet Inc.,2022-03-23,138.5,2022-03-29,4,143.25,138.6289189771392,0.03429602888086643,0.0009308229396331639,up,flat,0.0
Alphabet Inc.,2022-03-23,138.5,2022-03-30,5,142.64,138.86262517215818,0.02989169675090243,0.002618232289950724,up,up,1.0
Alphabet Inc.,2022-03-24,141.31,2022-03-25,1,141.52,139.79548319613113,0.0014860944023778074,-0.01071769021207892,flat,down,0.0
Alphabet Inc.,2022-03-24,141.31,2022-03-28,2,141.95,139.5285848542524,0.004529049607246383,-0.012606433697173701,up,down,0.0
Alphabet Inc.,2022-03-24,141.31,2022-03-29,3,143.25,139.66915349097997,0.013728681621965874,-0.01161168005817024,up,down,0.0
Alphabet Inc.,2022-03-24,141.31,2022-03-30,4,142.64,139.88159699109218,0.009411931215058978,-0.010108293885130716,up,down,0.0
Alphabet Inc.,2022-03-24,141.31,2022-03-31,5,139.65,140.04165686789122,-0.011747222418795531,-0.008975607756767265,down,down,1.0
Alphabet Inc.,2022-03-25,141.52,2022-03-28,1,141.95,141.0455314663183,0.003038439796495042,-0.0033526606393563846,up,down,0.0
Alphabet Inc.,2022-03-25,141.52,2022-03-29,2,143.25,141.11816963942957,0.012224420576596874,-0.0028393892069703444,up,down,0.0
Alphabet Inc.,2022-03-25,141.52,2022-03-30,3,142.64,141.20301485278253,0.007914075749010572,-0.0022398611307057645,up,down,0.0
Alphabet Inc.,2022-03-25,141.52,2022-03-31,4,139.65,141.20606700745225,-0.013213680045223322,-0.002218294181371979,down,down,1.0
Alphabet Inc.,2022-03-25,141.52,2022-04-01,5,140.7,141.11449801185904,-0.005794234030525873,-0.002865333437966147,down,down,1.0
Alphabet Inc.,2022-03-28,141.95,2022-03-29,1,143.25,141.09068861045657,0.009158154279676024,-0.006053620215170282,up,down,0.0
Alphabet Inc.,2022-03-28,141.95,2022-03-30,2,142.64,141.13708608086864,0.004860866502289523,-0.005726762375000684,up,down,0.0
Alphabet Inc.,2022-03-28,141.95,2022-03-31,3,139.65,141.10001824501728,-0.01620288834096501,-0.005987895420801037,down,down,1.0
Alphabet Inc.,2022-03-28,141.95,2022-04-01,4,140.7,140.99652529994384,-0.008805917576611484,-0.006716975696063037,down,down,1.0
Alphabet Inc.,2022-03-28,141.95,2022-04-04,5,143.64,141.12517335379664,0.01190560056357871,-0.005810684369167654,up,down,0.0
Alphabet Inc.,2022-03-29,143.25,2022-03-30,1,142.64,143.5435139419036,-0.004258289703315977,0.002048962945225813,down,up,0.0
Alphabet Inc.,2022-03-29,143.25,2022-03-31,2,139.65,143.72755984822325,-0.02513089005235598,0.0033337511219773196,down,up,0.0
Alphabet Inc.,2022-03-29,143.25,2022-04-01,3,140.7,143.4845553217489,-0.01780104712041893,0.001637384445018498,down,flat,0.0
Alphabet Inc.,2022-03-29,143.25,2022-04-04,4,143.64,143.60651401221165,0.0027225130890051403,0.0024887540119486735,up,up,1.0
Alphabet Inc.,2022-03-29,143.25,2022-04-05,5,141.06,143.53442358732087,-0.01528795811518323,0.00198550497257154,down,flat,0.0
Alphabet Inc.,2022-03-30,142.64,2022-03-31,1,139.65,142.7335088303097,-0.0209618620302859,0.0006555582607242135,down,flat,0.0
Alphabet Inc.,2022-03-30,142.64,2022-04-01,2,140.7,142.52961128217464,-0.013600673022994938,-0.0007738973487475073,down,flat,0.0
Alphabet Inc.,2022-03-30,142.64,2022-04-04,3,143.64,142.74865781283629,0.007010656197420079,0.0007617625689589087,up,flat,0.0
Alphabet Inc.,2022-03-30,142.64,2022-04-05,4,141.06,142.76971140499185,-0.011076836791923613,0.0009093620652822924,down,flat,0.0
Alphabet Inc.,2022-03-30,142.64,2022-04-06,5,137.18,142.7482529956617,-0.03827818283791349,0.0007589245349249922,down,flat,0.0
Alphabet Inc.,2022-03-31,139.65,2022-04-01,1,140.7,140.65629494953794,0.00751879699248108,0.007205835657271259,up,up,1.0
Alphabet Inc.,2022-03-31,139.65,2022-04-04,2,143.64,140.83002365249845,0.028571428571428432,0.008449865037582873,up,up,1.0
Alphabet Inc.,2022-03-31,139.65,2022-04-05,3,141.06,140.97593481961965,0.010096670247046162,0.009494699746649817,up,up,1.0
Alphabet Inc.,2022-03-31,139.65,2022-04-06,4,137.18,141.0567376942253,-0.017687074829931964,0.010073309661477157,down,up,0.0
Alphabet Inc.,2022-03-31,139.65,2022-04-07,5,136.47,141.3065739789173,-0.022771213748657405,0.011862327095719969,down,up,0.0
Alphabet Inc.,2022-04-01,140.7,2022-04-04,1,143.64,140.20774003573848,0.020895522388059688,-0.003498649355092444,up,down,0.0
Alphabet Inc.,2022-04-01,140.7,2022-04-05,2,141.06,140.36986852680104,0.0025586353944563873,-0.0023463502004189515,up,down,0.0
Alphabet Inc.,2022-04-01,140.7,2022-04-06,3,137.18,140.53409539839595,-0.025017768301350263,-0.0011791371826868561,down,flat,0.0
Alphabet Inc.,2022-04-01,140.7,2022-04-07,4,136.47,140.82617649917296,-0.03006396588486134,0.000896776824257076,down,flat,0.0
Alphabet Inc.,2022-04-01,140.7,2022-04-08,5,134.01,140.7075880176841,-0.04754797441364604,5.393047394527128e-05,down,flat,0.0
Alphabet Inc.,2022-04-04,143.64,2022-04-05,1,141.06,142.87905156544454,-0.017961570593149432,-0.005297608149230333,down,down,1.0
Alphabet Inc.,2022-04-04,143.64,2022-04-06,2,137.18,143.2274378224947,-0.04497354497354483,-0.002872195610591016,down,down,1.0
Alphabet Inc.,2022-04-04,143.64,2022-04-07,3,136.47,143.3481335147553,-0.049916457811194574,-0.002031930418022115,down,down,1.0
Alphabet Inc.,2022-04-04,143.64,2022-04-08,4,134.01,143.19527493145694,-0.0670426065162907,-0.003096108803557856,down,down,1.0
Alphabet Inc.,2022-04-04,143.64,2022-04-11,5,129.8,143.34097608605265,-0.09635199108883302,-0.002081759356358517,down,down,1.0
Alphabet Inc.,2022-04-05,141.06,2022-04-06,1,137.18,142.41424733741778,-0.027506025804622115,0.00960050572393148,down,up,0.0
Alphabet Inc.,2022-04-05,141.06,2022-04-07,2,136.47,142.50306189760084,-0.03253934495959169,0.010230128297184473,down,up,0.0
Alphabet Inc.,2022-04-05,141.06,2022-04-08,3,134.01,142.39615487783922,-0.04997873245427486,0.009472244986808596,down,up,0.0
Alphabet Inc.,2022-04-05,141.06,2022-04-11,4,129.8,142.57963918664888,-0.07982418828867142,0.010772998629298694,down,up,0.0
Alphabet Inc.,2022-04-05,141.06,2022-04-12,5,128.37,142.78685207287384,-0.08996171841769458,0.012241968473513679,down,up,0.0
Alphabet Inc.,2022-04-06,137.18,2022-04-07,1,136.47,137.75600490233836,-0.005175681586237118,0.004198898544528025,down,up,0.0
Alphabet Inc.,2022-04-06,137.18,2022-04-08,2,134.01,137.47771013934766,-0.023108324828692343,0.0021702153327573795,down,up,0.0
Alphabet Inc.,2022-04-06,137.18,2022-04-11,3,129.8,137.99777820225515,-0.05379792972736547,0.005961351525405607,down,up,0.0
Alphabet Inc.,2022-04-06,137.18,2022-04-12,4,128.37,138.40939218088954,-0.06422218982358946,0.008961890806892647,down,up,0.0
Alphabet Inc.,2022-04-06,137.18,2022-04-13,5,130.29,138.55623065882975,-0.05022598046362454,0.010032298139887305,down,up,0.0
Alphabet Inc.,2022-04-07,136.47,2022-04-08,1,134.01,136.12676757994114,-0.018025939766981813,-0.0025150759878277565,down,down,1.0
Alphabet Inc.,2022-04-07,136.47,2022-04-11,2,129.8,136.6444492913145,-0.04887521066901141,0.0012782977307429337,down,flat,0.0
Alphabet Inc.,2022-04-07,136.47,2022-04-12,3,128.37,137.21141828647373,-0.05935370411079354,0.005432829826875733,down,up,0.0
Alphabet Inc.,2022-04-07,136.47,2022-04-13,4,130.29,137.42982724236057,-0.045284677951198116,0.007033247177845496,down,up,0.0
Alphabet Inc.,2022-04-07,136.47,2022-04-14,5,127.25,137.32043602882914,-0.06756063603722429,0.006231670175343567,down,up,0.0
Alphabet Inc.,2022-04-08,134.01,2022-04-11,1,129.8,135.51607486898462,-0.031415566002536977,0.011238525997945127,down,up,0.0
Alphabet Inc.,2022-04-08,134.01,2022-04-12,2,128.37,136.00514656337646,-0.042086411461831105,0.014888042410092275,down,up,0.0
Alphabet Inc.,2022-04-08,134.01,2022-04-13,3,130.29,136.30636491467527,-0.027759122453548234,0.017135772813038432,down,up,0.0
Alphabet Inc.,2022-04-08,134.01,2022-04-14,4,127.25,136.2140000550644,-0.05044399671666287,0.016446534251655834,down,up,0.0
Alphabet Inc.,2022-04-08,134.01,2022-04-18,5,127.96,136.43101215867432,-0.04514588463547495,0.01806590671348653,down,up,0.0
Alphabet Inc.,2022-04-11,129.8,2022-04-12,1,128.37,131.3787188742215,-0.011016949152542425,0.012162703191228764,down,up,0.0
Alphabet Inc.,2022-04-11,129.8,2022-04-13,2,130.29,131.5598195384355,0.0037750385208010833,0.013557931729087008,up,up,1.0
Alphabet Inc.,2022-04-11,129.8,2022-04-14,3,127.25,131.79840719967723,-0.01964560862865956,0.015396049304138806,down,up,0.0
Alphabet Inc.,2022-04-11,129.8,2022-04-18,4,127.96,132.25149418667982,-0.01417565485362109,0.01888670405762565,down,up,0.0
Alphabet Inc.,2022-04-11,129.8,2022-04-19,5,130.53,132.91562539196315,0.005624036979969104,0.02400327728785158,up,up,1.0
