mae,rmse,mape,r2,company,split
0.3192986369835257,0.4108857818936567,0.019260697862953684,-0.9709900738110837,Alphabet Inc.,0
0.5476431439387,0.6330660381138494,0.03289603196411989,-4.408245285182528,Alphabet Inc.,0
0.7330582392573195,0.7608732285163908,0.043874928067593945,-27.10330436276479,Alphabet Inc.,0
0.36902657846607667,0.40097230366465786,0.02198492925531348,-16.753841464900702,Alphabet Inc.,0
0.2273635138975969,0.2714856623652915,0.013544738865133821,-8.185501603928282,Alphabet Inc.,0
0.3271487243220392,0.3534715390899982,0.019442169497044443,-22.414941706643845,Alphabet Inc.,0
0.13919622197784562,0.18375141072657508,0.008255028979262235,-5.424007028920517,Alphabet Inc.,0
0.12531855313828047,0.1657850948415341,0.0074551135539225625,-3.5991796639251206,Alphabet Inc.,0
0.10627828772360033,0.11390757939625511,0.006325210267583145,-0.30480054745719176,Alphabet Inc.,0
0.23566561374456682,0.26462257534196215,0.013971744692076671,-9.14268646880268,Alphabet Inc.,0
0.1307126055237994,0.23119566071334763,0.007668898765071935,-1.3802740262148907,Alphabet Inc.,0
0.2107744238231696,0.24895134172830963,0.012413770466731762,-1.6467701805742183,Alphabet Inc.,0
0.25279927105304834,0.30353473459074476,0.014861974864617291,-2.4450095387030597,Alphabet Inc.,0
0.43385760892771613,0.45162766590546904,0.0254916835505881,-23.23568781026897,Alphabet Inc.,0
0.28572826908602733,0.3085367501603825,0.01677141030834506,-17.25056100451118,Alphabet Inc.,0
0.17499795596087822,0.24876534962477106,0.010154375285045423,-0.9693291488650122,Alphabet Inc.,0
0.3841862925070359,0.4930902751523044,0.02208966082950851,-2.5742975927580645,Alphabet Inc.,0
0.39971426751269734,0.49112137504057923,0.022896198092567422,-2.390309864805876,Alphabet Inc.,0
0.547971067665074,0.610600942864474,0.031442792756785555,-6.684120186046646,Alphabet Inc.,0
0.5719839306395386,0.5899830051468357,0.03285725148661337,-16.565600845886692,Alphabet Inc.,0
0.20712455504087401,0.26103953294150584,0.011831284500869146,-1.5215230076346762,Alphabet Inc.,0
0.25856194647516517,0.3412618595374135,0.014735907773798917,-2.3674432331405653,Alphabet Inc.,0
0.4043051937013928,0.4833489241952524,0.022958862901155376,-4.247668070995234,Alphabet Inc.,0
0.6577751454647931,0.7525365674682566,0.0371139960492801,-10.390009762206494,Alphabet Inc.,0
0.8319108966342732,0.8852953540710529,0.046600257802373944,-20.404518897197583,Alphabet Inc.,0
0.5372095008974895,0.6175892583304253,0.029836901803304217,-8.400051557697237,Alphabet Inc.,0
0.6493869276327005,0.7421777787268737,0.03580731307734884,-11.268973967301184,Alphabet Inc.,0
0.8166278865475725,0.9016775532102691,0.044555419704749286,-11.605780357902175,Alphabet Inc.,0
0.7353527019257549,0.8176547185240522,0.039798924769074026,-10.460491612805969,Alphabet Inc.,0
0.6038666892719042,0.7104869067892763,0.03237924641700974,-7.355264246540578,Alphabet Inc.,0
0.6806752190072466,0.728340448751356,0.03638253522370072,-13.162745869482311,Alphabet Inc.,0
0.6202811071635118,0.6329832614028771,0.03307138454859123,-75.69751324966037,Alphabet Inc.,0
0.28997502727816027,0.3406735754341995,0.015370937287902276,-10.396159171162811,Alphabet Inc.,0
0.3747910319707124,0.3950699758617532,0.019878396308848963,-31.088874553332026,Alphabet Inc.,0
0.27919043467085985,0.3292355854104984,0.014743543400510262,-16.781507660858782,Alphabet Inc.,0
0.2957844942969494,0.35340624001780924,0.015559465056586518,-7.931348003684668,Alphabet Inc.,0
0.36042458905633906,0.4017221775104884,0.01891324929709129,-13.920553615363284,Alphabet Inc.,0
0.1996571595406408,0.2382365672302154,0.010480565044013219,-3.1659323227860474,Alphabet Inc.,0
0.23811048204977608,0.29052631173682014,0.012488715410062457,-0.7424760076672243,Alphabet Inc.,0
0.21930534460834678,0.23702400928146916,0.011651910447918846,0.1978814823549112,Alphabet Inc.,0
0.23320050458773878,0.2781375506014426,0.01250774049723571,-0.5667631451427797,Alphabet Inc.,0
0.3323143665684121,0.3596955231584899,0.017866954547556102,-5.873186856154958,Alphabet Inc.,0
0.21028074950056422,0.22775929786750249,0.011343681718019132,-6.0100402385268294,Alphabet Inc.,0
0.1698113605511395,0.2000193619262989,0.009131908729860234,-4.538170701191076,Alphabet Inc.,0
0.2089501052166213,0.24538581793136205,0.011184493073819805,-2.5254215246981246,Alphabet Inc.,0
0.37504331134245633,0.5734717569942144,0.021158035663674475,-0.1796921401771685,Alphabet Inc.,0
0.6048842037916244,0.7902111581281045,0.03460526467587101,-0.15630726491815095,Alphabet Inc.,0
0.8050331227165032,0.9243177668599706,0.04663351695503029,-0.29973610776376414,Alphabet Inc.,0
1.1052074609791247,1.170683672030304,0.06450716154959825,-1.5828475959231443,Alphabet Inc.,0
1.6260843089173265,1.6310458442096922,0.09569217094187224,-104.66851548751679,Alphabet Inc.,0
0.19519940308166425,0.2205991024697672,0.011545444415501569,-26.278006732324368,Alphabet Inc.,0
0.4084662869917395,0.5434284252937908,0.02419586530563277,-164.53500752090562,Alphabet Inc.,0
0.2985757572539985,0.43067660845900685,0.01768021732497255,-79.78499175686107,Alphabet Inc.,0
0.2991751682487987,0.4025535152940687,0.017641449950915454,-12.902653798525504,Alphabet Inc.,0
0.3636623772705555,0.4452926274314917,0.021341698825234897,-11.061163263068291,Alphabet Inc.,0
0.3867833158187203,0.47062759345175864,0.022664848876656957,-14.884275080191923,Alphabet Inc.,0
0.38686018463864896,0.4281024810424831,0.022683386107665,-28.868274816612473,Alphabet Inc.,0
0.1907807375072487,0.23355767914847772,0.011189627694950894,-0.5557035560467616,Alphabet Inc.,0
0.26716589449883016,0.3175258152536943,0.01609756069322686,0.031073236021726736,Alphabet Inc.,0
0.25127465349982786,0.3697450649713568,0.015316406257587309,-0.642692168973765,Alphabet Inc.,0
0.2677777284363259,0.30712576273142383,0.01623520622309719,-0.7150224387883415,Alphabet Inc.,0
0.3930347164217579,0.4331183714478353,0.023934057713089874,-9.384827484810913,Alphabet Inc.,0
0.18291825529868647,0.19655378044341854,0.011169478641126284,-1.0708291491530582,Alphabet Inc.,0
0.2643039424345684,0.3081133239682962,0.01605404570549742,-2.24404799093741,Alphabet Inc.,0
0.193712513954236,0.227977506739531,0.011926111877131638,-0.5896055657931589,Alphabet Inc.,0
0.22485604081706398,0.2607311272718709,0.013782984088244049,-0.7459605693563969,Alphabet Inc.,0
0.3015329579080678,0.3963281850036112,0.01822594140221554,-1.4970753883418637,Alphabet Inc.,0
0.40334034744719743,0.4889511200707383,0.024309773374621473,-2.6622732508950704,Alphabet Inc.,0
0.5447304751814606,0.6058164325009837,0.03276610151877842,-7.329101985480653,Alphabet Inc.,0
0.5292188295010135,0.538135362561753,0.03187842993888606,-49.769577215894515,Alphabet Inc.,0
0.18057609293370333,0.2442140478770677,0.010828948534889266,-6.956310189501252,Alphabet Inc.,0
0.32801455628315423,0.4834149045835517,0.01946133281341327,-5.5305714837223965,Alphabet Inc.,0
0.51507320194602,0.6551757831289399,0.03027346850832514,-4.661206304054366,Alphabet Inc.,0
0.5917714631705309,0.708726272646181,0.034470773591840045,-3.4441262876817973,Alphabet Inc.,0
0.8612044399361103,0.9386901897972146,0.04996980338735309,-13.689571759494735,Alphabet Inc.,0
0.753587290459133,0.8021125438509512,0.0436349909531723,-42.518975446634656,Alphabet Inc.,0
0.5005390283365557,0.5312526386388406,0.029006327328197624,-33.65488286600297,Alphabet Inc.,0
0.2513427474216122,0.28618431112879456,0.01457928452895572,-8.731637349841028,Alphabet Inc.,0
0.05600849530559486,0.06883219126808435,0.0032582961910969507,0.4551666795347181,Alphabet Inc.,0
0.13758628994727715,0.1466234669504034,0.008025805239893833,-3.391021458446832,Alphabet Inc.,0
0.1428452728978428,0.2149407131918186,0.008276031842927375,-2.5063380530819344,Alphabet Inc.,0
0.251171162477133,0.30233789278898016,0.01453401234678028,-3.7312733652215586,Alphabet Inc.,0
0.3062720565469725,0.32440494395713326,0.01769381218932592,-2.210842313394878,Alphabet Inc.,0
0.46131092109626337,0.5049718838267163,0.026485070485856594,-9.793963911932895,Alphabet Inc.,0
0.5628010889449222,0.6277378406415558,0.03191894089017116,-7.409911144214712,Alphabet Inc.,0
0.43461524445163774,0.5146900390250183,0.02441766355249126,-3.1931403740593796,Alphabet Inc.,0
0.5641848713466686,0.6470953158835439,0.03154018141648368,-7.232391236206807,Alphabet Inc.,0
0.514108890148632,0.5660575581765552,0.028650262326975828,-7.626458086603627,Alphabet Inc.,0
0.5899776534554697,0.5937508651619168,0.03290105537219748,-102.20260242404241,Alphabet Inc.,0
0.09095090841805628,0.13246340285416144,0.0050678768955885346,-0.25835865574469774,Alphabet Inc.,0
0.13098069079491664,0.13968029431251228,0.007355258856639067,-0.06825364757064256,Alphabet Inc.,0
0.11912556104557197,0.12433248682495383,0.00670529946183909,0.24607065547807916,Alphabet Inc.,0
0.18416886345013667,0.2248256179367657,0.010481523411104901,-2.1544282626465496,Alphabet Inc.,0
0.12065124079125908,0.15996515646422155,0.006881283652790111,-2.3919474128608953,Alphabet Inc.,0
0.18151856737321168,0.28913783441397317,0.010157100131294729,-1.2982374997141428,Alphabet Inc.,0
0.2779023287405451,0.3372094075981346,0.015553289081077388,-1.0010943364192002,Alphabet Inc.,0
0.4712298260434416,0.5901400280648768,0.025985845340401038,-2.1325578607290616,Alphabet Inc.,0
0.7458425375789858,0.8003054949148436,0.041060179873187476,-7.957385393696789,Alphabet Inc.,0
0.7076599409228607,0.7400584863170399,0.03880019644043422,-22.954100908409306,Alphabet Inc.,0
0.4765919414005239,0.5221757243228085,0.026017605262114114,-14.549012720805793,Alphabet Inc.,0
0.6407044439935057,0.6691349949159983,0.034877950593566506,-83.54336129555237,Alphabet Inc.,0
0.2471719298161915,0.3052550140530146,0.013421188547742113,-14.185890417944643,Alphabet Inc.,0
0.27217135055844394,0.32939585038458047,0.014808966475404436,-2.948385234737345,Alphabet Inc.,0
0.2739058188442122,0.31370203136825764,0.014930589213169726,-1.5979135291597633,Alphabet Inc.,0
0.1333279339103676,0.14193023152584752,0.00731475522242622,0.6890560845119058,Alphabet Inc.,0
0.27304829408060555,0.32132410206216244,0.01527047231039863,-0.7042317867102652,Alphabet Inc.,0
0.38704802086914897,0.40050869053873805,0.021762648962571983,-3.5518504879981485,Alphabet Inc.,0
0.15553286494563778,0.18288039141010065,0.008803759681335182,0.14767488373313065,Alphabet Inc.,0
0.3116407237345548,0.42395099631505534,0.017241198437255308,-0.49459858365926745,Alphabet Inc.,0
0.5111728566687852,0.7070822165927633,0.02766281243456148,-0.8515586059821934,Alphabet Inc.,0
0.7946349389003118,0.9879670306436404,0.0426530506685758,-1.9913174635885982,Alphabet Inc.,0
1.059802299808858,1.185908403908457,0.05672481927502573,-5.073915724271446,Alphabet Inc.,0
1.3581671415294132,1.3708336209399814,0.0725844592893218,-135.01511409231367,Alphabet Inc.,0
0.4437036443394661,0.45122447765829826,0.023654654941688044,-220.30818395434463,Alphabet Inc.,0
0.5120495158339559,0.6370789636040114,0.02724803770709719,-270.3032124777761,Alphabet Inc.,0
0.5081770298478154,0.659364337345968,0.02668924810909522,-7.637184706049089,Alphabet Inc.,0
