mae,rmse,mape,r2,company,split
0.5418494939804077,0.5501170922395547,0.03204478695988655,-168.6352081298828,Alphabet Inc.,0
0.4787757992744446,0.500144937489218,0.028371861204504967,-139.21405029296875,Alphabet Inc.,0
0.43044090270996094,0.46668018494622054,0.025495564565062523,-93.85505676269531,Alphabet Inc.,0
0.3938697874546051,0.41378238487851476,0.023284083232283592,-13.6891450881958,Alphabet Inc.,0
0.24008521437644958,0.2678345892130382,0.014171947725117207,-3.3634800910949707,Alphabet Inc.,0
0.14249877631664276,0.1538316255309688,0.008395764045417309,-0.6970951557159424,Alphabet Inc.,0
0.19688376784324646,0.220974173409014,0.011555945500731468,-6.957982063293457,Alphabet Inc.,0
0.22817039489746094,0.2521469494386432,0.013390394859015942,-0.8132123947143555,Alphabet Inc.,0
0.2356514036655426,0.3196563513115411,0.014259383082389832,0.018025219440460205,Alphabet Inc.,0
0.26387977600097656,0.3314380732629729,0.01601611264050007,-0.3199470043182373,Alphabet Inc.,0
0.3334152102470398,0.37376215401474594,0.020236480981111526,-1.5399696826934814,Alphabet Inc.,0
0.4535118043422699,0.48130799476646013,0.02760467305779457,-11.824213027954102,Alphabet Inc.,0
0.25096625089645386,0.26920443914704784,0.015350368805229664,-2.884591817855835,Alphabet Inc.,0
0.15821877121925354,0.18200841195583792,0.009659279137849808,-0.13200974464416504,Alphabet Inc.,0
0.34418219327926636,0.3928055555204716,0.021247457712888718,-3.7191314697265625,Alphabet Inc.,0
0.372933566570282,0.4146341480410937,0.023001329973340034,-3.415513038635254,Alphabet Inc.,0
0.21749992668628693,0.2721610110474532,0.013441314920783043,-0.17753732204437256,Alphabet Inc.,0
0.18192139267921448,0.20542892244105496,0.011121639981865883,0.35353583097457886,Alphabet Inc.,0
0.20554427802562714,0.22436279361962164,0.012377556413412094,-0.1424030065536499,Alphabet Inc.,0
0.18695449829101562,0.2281603537559977,0.011235211044549942,-8.12636661529541,Alphabet Inc.,0
0.14802131056785583,0.18664841184982756,0.008940675295889378,-3.64748477935791,Alphabet Inc.,0
0.1692684143781662,0.1971862746682764,0.010107481852173805,-0.08658206462860107,Alphabet Inc.,0
0.2792320251464844,0.37590731689088613,0.01637369953095913,-0.863605260848999,Alphabet Inc.,0
0.38983839750289917,0.4412113198138941,0.022758111357688904,-0.7223532199859619,Alphabet Inc.,0
0.6452194452285767,0.6825868002222476,0.03748544305562973,-6.767480850219727,Alphabet Inc.,0
0.5149906277656555,0.537837308569703,0.0298279020935297,-18.566476821899414,Alphabet Inc.,0
0.27073973417282104,0.3082350323965384,0.015646126121282578,-10.666081428527832,Alphabet Inc.,0
0.1370193511247635,0.16431064799212924,0.007920458912849426,-2.2079246044158936,Alphabet Inc.,0
0.24413108825683594,0.29111769505545537,0.01425616443157196,-8.745885848999023,Alphabet Inc.,0
0.284109890460968,0.30479773947992633,0.016606386750936508,-17.975332260131836,Alphabet Inc.,0
0.16284409165382385,0.1886796598230275,0.009522689506411552,-1.7018814086914062,Alphabet Inc.,0
0.11956787109375,0.13917711388850024,0.006960675120353699,-0.0025995969772338867,Alphabet Inc.,0
0.17488785088062286,0.1802635392667416,0.010143280029296875,0.008574962615966797,Alphabet Inc.,0
0.30200499296188354,0.34083837991388877,0.017321761697530746,-3.917487144470215,Alphabet Inc.,0
0.47784653306007385,0.5408092890284493,0.02708587981760502,-5.2419843673706055,Alphabet Inc.,0
0.3675689697265625,0.4838137143337522,0.020574860274791718,-2.705141544342041,Alphabet Inc.,0
0.5014507174491882,0.5681839242809449,0.02804013527929783,-5.346973896026611,Alphabet Inc.,0
0.4265556335449219,0.47477750586627326,0.02375585213303566,-5.06863260269165,Alphabet Inc.,0
0.4273609220981598,0.44933435362349583,0.023808320984244347,-58.10451889038086,Alphabet Inc.,0
0.15668067336082458,0.23773288163472311,0.008830374106764793,-3.0531435012817383,Alphabet Inc.,0
0.28152695298194885,0.3468942542359856,0.015884075313806534,-5.5886735916137695,Alphabet Inc.,0
0.33868446946144104,0.42983129002806647,0.01919904164969921,-8.01069450378418,Alphabet Inc.,0
0.5350444912910461,0.5871744197263574,0.030439138412475586,-20.516157150268555,Alphabet Inc.,0
0.38465040922164917,0.40100590022067634,0.021892283111810684,-20.315752029418945,Alphabet Inc.,0
0.18668708205223083,0.21277357961090704,0.010590175166726112,-0.244573712348938,Alphabet Inc.,0
0.2186737060546875,0.24497214049445482,0.012274111621081829,-0.0560917854309082,Alphabet Inc.,0
0.36652451753616333,0.4450948417514663,0.020247366279363632,-0.7819485664367676,Alphabet Inc.,0
0.6438457369804382,0.706842555373223,0.03540626913309097,-5.987423896789551,Alphabet Inc.,0
0.6281353235244751,0.6519782361496637,0.03444816544651985,-17.59159278869629,Alphabet Inc.,0
0.4721511900424957,0.5207161262875126,0.025768065825104713,-14.462325096130371,Alphabet Inc.,0
0.5603664517402649,0.5696334715734973,0.030506247654557228,-60.269737243652344,Alphabet Inc.,0
0.09358634799718857,0.1130723795233042,0.005091676954180002,-1.0836689472198486,Alphabet Inc.,0
0.20117492973804474,0.334197428158276,0.011106301099061966,-3.064347267150879,Alphabet Inc.,0
0.3289722502231598,0.4221175520841097,0.018152521923184395,-3.7038936614990234,Alphabet Inc.,0
0.4832191467285156,0.6280598601920573,0.026928644627332687,-5.088834285736084,Alphabet Inc.,0
0.6499645113945007,0.737701228539477,0.03635907918214798,-7.982596397399902,Alphabet Inc.,0
0.7186561822891235,0.7677968419752585,0.04046875983476639,-15.728448867797852,Alphabet Inc.,0
0.40800780057907104,0.46746803460001707,0.023157011717557907,-4.568976402282715,Alphabet Inc.,0
