,open,high,low,close,ohlc_avg
count,26173.0,26173.0,26173.0,26173.0,26173.0
mean,95.18416616016506,96.42830098498453,93.90385661101135,95.20412645015855,95.18011255157987
std,117.76727442961997,119.42495846756397,116.01303241591243,117.77777692044151,117.73707042817682
min,0.218,0.2262499999999999,0.21625,0.2220599999999999,0.22181999999999996
25%,15.36,15.54,15.18,15.36,15.362499999999999
50%,43.21,43.69,42.91,43.29,43.2875
75%,145.36,147.19,143.51,145.47,145.3175
max,1044.49,1064.75,1030.0,1064.69,1050.9825
