company,mae,rmse,mape,r2
"Meta Platforms, Inc.",8.942843180860727,9.929714689669064,0.03558856704172799,-19.556378810005334
"Tesla, Inc.",6.132452377946321,6.903298716186245,0.05524814507768028,-11.773957593682196
NVIDIA Corporation,4.124737450270265,4.658183100839675,0.06077568379422104,-74.95530680932437
Microsoft Corporation,4.146426332415196,4.612435853785229,0.02746458166632415,-25.939246618481533
"Amazon.com, Inc.",4.084032823245206,4.52659390676469,0.039446777449267216,-27.10626329978307
Apple Inc.,2.4175728545389013,2.6847675469512606,0.028422751121796323,-14.167918957078285
Alphabet Inc.,2.1300620750571864,2.3986623576361468,0.026277057178361783,-16.13979195992534
