,Balance_of_Trade_china,Balance_of_Trade_united_states,Bank_Lending_Rate_united_states,Business_Confidence_united_states,Capacity_Utilization_united_states,Car_Production_united_states,Consumer_Price_Index_CPI_united_states,Employment_Rate_united_states,Industrial_Production_united_states,Inflation_Rate_china,Inflation_Rate_euro_area,Inflation_Rate_united_states,Interest_Rate_euro_area,Interest_Rate_united_states,Leading_Economic_Index_united_states,Personal_Savings_united_states,Personal_Spending_united_states,Producer_Prices_Change_united_states,Retail_Sales_MoM_united_states,Total_Vehicle_Sales_united_states,Unemployment_Rate_euro_area,Unemployment_Rate_united_states,Wage_Growth_united_states,Wages_in_Manufacturing_united_states,Wages_united_states
Alphabet Inc.,-0.022959360878228995,0.032242237243159555,-0.027191797037875783,0.011855189040294494,-0.014802158439805748,-0.0030244433044905655,-0.027508138872082873,-0.038221439155320586,-0.00519296130078176,0.01117340197896113,-0.020373988150556615,-0.02721489853883972,-0.022211890925495904,-0.024779683063148608,0.003589645467187983,0.04622524082709029,-0.022576497548940245,-0.032501440415339575,-0.018169266856097023,-1.3637399564507296e-05,0.026967183908512504,0.028072195374896452,-0.015641490221429348,-0.02739924861351616,-0.026168709240576276
"Amazon.com, Inc.",-0.028020531757734807,0.04223323615017737,-0.02839108049613328,0.012007098313287334,-0.022265479983980263,-0.003259467322389348,-0.03501520745783287,-0.033041185972523625,-0.008762655708644963,0.02668977204051883,-0.027283061492758214,-0.03777486633630051,-0.023648714964610035,-0.025484664202946466,-0.010145224818908687,0.04092883916979837,-0.02642050111795295,-0.04171549564490422,-0.019806054205018155,-0.006400651462527312,0.03132250081194981,0.0336940554301339,-0.022771873147705818,-0.03478886047969594,-0.03428671507312588
Apple Inc.,-0.044934033097142424,0.04221443148553599,-0.04275652594862257,0.03573676383337557,-0.02764389603922514,-0.03068953052152315,-0.0432776793164812,-0.05151847779218282,0.004429525764869694,0.046834784956459756,-0.01631788639835186,-0.011358213026920744,-0.03705549393670703,-0.04104881650470803,-0.004475877438036654,0.05603920085731234,-0.006754292234761147,-0.009574768527808296,-0.0002632300008586106,-0.03994744099246846,0.031707141545626254,0.0532562438333204,-0.03730682634221829,-0.04260476866403243,-0.0414307258006216
"Meta Platforms, Inc.",-0.026178867916305918,0.038398435919789746,-0.012566904914850421,-0.005573997565587692,-0.028103347685428826,-0.007783244624687498,-0.025921517693428965,-0.03440451651786162,-0.023405914830477197,0.011211488650167188,-0.01459241586632803,-0.031668686253993585,-0.006609864050517421,-0.010519776755410281,-0.013324202791378144,0.04302499184631699,-0.014911557165532281,-0.044927505387272325,-0.009675369123187255,-0.0014534313843372693,0.02921622559064362,0.03748750061499328,-0.03448772462795092,-0.02635768937981046,-0.02532734585982857
Microsoft Corporation,-0.027156103313182803,0.03867757977712723,-0.026403122873419987,0.014829632674563319,-0.0024429780661277354,0.002912342302517643,-0.02842686364311406,-0.023997660377603192,-0.009531409397706308,0.021132242537775348,-0.016095074607878502,-0.019063012029149302,-0.028994991625803254,-0.023929652444158053,0.01910305234944021,0.04059200060567127,-0.012935562229241866,-0.029534190544776406,-0.013228519707968863,0.002447192466599086,0.021797744626707256,0.016248159234870246,-0.017907658421657785,-0.028670487547677193,-0.027045471850199166
NVIDIA Corporation,-0.002716035368561592,0.0015675257403624785,0.00337224138264897,-0.007911820424731618,0.00888177798038594,-0.0030721756204690528,0.00024184066251207558,0.002657841672420579,-0.0018966228849820444,0.006796735182500778,0.04665857099539699,0.02753215388413242,0.0010779362111468767,0.00578203875396746,0.018743963464451577,-0.0012658332316225775,-0.0024188361873411454,0.014205935299077845,-0.010900105360410677,-0.017215605480228328,-0.0038125798301978995,-0.0070409393187634926,-0.007776786202973776,-0.0014043803026970276,0.0005806439072269071
"Tesla, Inc.",-0.0402831631335741,0.04244115444156668,-0.04654899449328425,0.01828742937880462,-0.040228698627162225,-0.01893842901385236,-0.042644735342865864,-0.06440532401476715,-0.024020388616270236,0.04256846962723394,-0.028361592266849516,-0.03029635402801653,-0.040525276820842025,-0.04469428785940838,-0.0050211540775451785,0.06634975607703844,-0.012532468235063156,-0.035000339040497874,-0.005855187989389182,-0.03011160244960238,0.039701277303215994,0.06160779808741104,-0.04662943064107541,-0.041641556018947284,-0.040400670549892416
