company,down,flat,up,total_samples,down_pct,flat_pct,up_pct
Alphabet Inc.,1101,812,1907,3820,0.2882198952879581,0.21256544502617802,0.49921465968586387
"Amazon.com, Inc.",1450,774,1611,3835,0.37809647979139505,0.20182529335071708,0.42007822685788787
Apple Inc.,873,895,2067,3835,0.22764015645371577,0.2333767926988266,0.5389830508474577
"Meta Platforms, Inc.",1641,499,1080,3220,0.5096273291925466,0.1549689440993789,0.33540372670807456
Microsoft Corporation,938,923,1974,3835,0.24458930899608866,0.24067796610169492,0.5147327249022164
NVIDIA Corporation,1478,433,1929,3840,0.3848958333333333,0.11276041666666667,0.50234375
"Tesla, Inc.",1237,399,2059,3695,0.3347767253044655,0.10798376184032477,0.5572395128552098
