company,n_train,n_test,train_mae_per_h,test_mae_per_h,train_rmse_per_h,test_rmse_per_h,train_mape_per_h,test_mape_per_h,train_r2_per_h,test_r2_per_h,train_mae_mean,test_mae_mean,train_rmse_mean,test_rmse_mean,train_mape_mean,test_mape_mean,train_r2_mean,test_r2_mean,n_samples,oob_mae,oob_rmse,oob_mape,oob_r2
Alphabet Inc.,3056,764,"[0.5323913334068505, 0.740651835232291, 0.9157554899863156, 1.0488219282253295, 1.1654031945469991]","[2.1115552907066384, 2.9606594002141735, 3.622709654306484, 4.1185493652273015, 4.557346021664102]","[np.float64(0.9494719505776542), np.float64(1.276001971580272), np.float64(1.5555321306885372), np.float64(1.7677167653974077), np.float64(1.9425315789207624)]","[np.float64(2.8752004487111793), np.float64(3.9341800083345495), np.float64(4.714458865028426), np.float64(5.307154581284948), np.float64(5.838849681122092)]","[1.1769489145404364, 1.651781221973485, 2.0495996688275993, 2.350355061793651, 2.62455642385745]","[1.5969188491777728, 2.237004394060564, 2.7296119169126585, 3.1034314020989044, 3.4427765289243477]","[0.999182101871569, 0.9985259149208696, 0.9978136672219523, 0.9971813130361536, 0.996602121723658]","[0.9911800561557638, 0.9835161873724338, 0.976358666848136, 0.9700669023132956, 0.9637824669305981]",0.8806047562795571,3.47416394642374,1.4982508794329266,4.533968716896238,1.9706482581985245,2.6219486182348493,0.9978610237548405,0.9769808559240454,3820,1.6886176341210208,2.3086052585943393,2.310245102538143,0.9667426637152889
"Amazon.com, Inc.",3068,767,"[0.8054346983975202, 1.1035441399314985, 1.3549888697441208, 1.535022592258157, 1.6860439660583546]","[2.5996137336299197, 3.5131360925147526, 4.279353131514827, 4.940525029112584, 5.587503280580015]","[np.float64(1.5728659024478608), np.float64(2.0957953943789653), np.float64(2.510960294782056), np.float64(2.8276644094811263), np.float64(3.1145408860460875)]","[np.float64(3.45602568612671), np.float64(4.679091891803707), np.float64(5.649826993405473), np.float64(6.5290925050182125), np.float64(7.369298511894991)]","[1.492124801956383, 2.090622346674632, 2.5919700126237775, 2.977727375034888, 3.3219527573639476]","[1.8420572105580766, 2.500539121220448, 3.0466675820515703, 3.509819938518792, 3.961433937626234]","[0.9991179249026954, 0.9984352638973887, 0.9977557665445614, 0.9971563187124788, 0.9965526160083699]","[0.9924725599053181, 0.9862384137729384, 0.9799808972218701, 0.9733248670033118, 0.9660706845289265]",1.2970068532779302,4.18402625347042,2.424365377427219,5.536667117649818,2.4948794587307255,2.972103557995024,0.9978035780130987,0.979617484486473,3835,2.2210982493182327,3.0318767802699407,2.5132928461208124,0.9667291944158372
Apple Inc.,3067,767,"[0.6119960388876194, 0.8384945757286746, 1.0246755496432403, 1.1736668260334868, 1.3081906477332474]","[2.469326153648413, 3.429779466178125, 4.169771412922264, 4.8297656901718495, 5.46198159351837]","[np.float64(1.1836955513235097), np.float64(1.5751248773885407), np.float64(1.9146602549207337), np.float64(2.1736712706256367), np.float64(2.398470024193756)]","[np.float64(3.244012064065112), np.float64(4.469045184911352), np.float64(5.40458772025038), np.float64(6.170737218356892), np.float64(6.871305375978271)]","[1.3132841127475208, 1.8376385423626123, 2.2598398596328253, 2.607029381524576, 2.9288889541192726]","[1.3976243370615058, 1.9330521817896158, 2.3410102960492734, 2.703635951455001, 3.0536974630527642]","[0.9991382820790872, 0.9984781599770702, 0.9977572827586437, 0.997116801448049, 0.9964990562024695]","[0.9896520436820112, 0.9803964613053932, 0.971374987913823, 0.9627478242533416, 0.953867627608172]",0.9914047276052538,4.072124863287804,1.8491243956904353,5.231937512712401,2.1893361700773615,2.285804045881632,0.9977979164930639,0.9716077889525483,3834,1.8780753433579913,2.5292662488333155,2.2033960570654276,0.9747335207742006
"Meta Platforms, Inc.",2573,644,"[2.4335829408161027, 3.3653982486426886, 4.1220397554727795, 4.7273639086155805, 5.242131727446912]","[6.411641780711689, 8.959147433243578, 11.060581301660187, 13.099826720186764, 14.83695147689588]","[np.float64(4.260999367515901), np.float64(5.702367026525949), np.float64(6.873310180344925), np.float64(7.777022160833016), np.float64(8.5311343910433)]","[np.float64(9.643928135100456), np.float64(12.823448587548002), np.float64(15.428145605155084), np.float64(17.96541295073548), np.float64(20.158992625604085)]","[1.7159840736049492, 2.392941208149421, 2.9635981472598347, 3.426279086656893, 3.8382392560623404]","[1.8779754278032543, 2.6370849201422337, 3.257174917493803, 3.865873032600985, 4.374222960248099]","[0.9976655452842146, 0.995815986185077, 0.9939167319582611, 0.9922061068137604, 0.9906142595927491]","[0.9969046377540404, 0.9945331883840035, 0.9920931056042985, 0.9892829857470413, 0.9865027299646696]",3.978103316198812,10.87362974253962,6.628966625252619,15.203985580828624,2.8674083543466877,3.2024662516576754,0.9940437259668125,0.9918633294908107,3217,6.136642947366609,8.900558226894358,2.682249279501404,0.9707409646237645
Microsoft Corporation,3068,767,"[1.0702048554737638, 1.424894221232237, 1.7107155893622652, 1.9685831499060134, 2.1655904828834514]","[4.443295304406352, 6.004942163482032, 7.015337422507464, 8.124261067494963, 9.23845301551637]","[np.float64(2.0354548020193124), np.float64(2.6229086605580316), np.float64(3.1450109549986442), np.float64(3.583033488200164), np.float64(3.9557084515364034)]","[np.float64(5.789741857589025), np.float64(7.699571019480566), np.float64(8.978688577589104), np.float64(10.206541725417177), np.float64(11.36246320994111)]","[1.1437583824127822, 1.5445387968893247, 1.8681053291809129, 2.152203376056829, 2.370680565363477]","[1.3693889739298868, 1.8598961641828453, 2.1648381769157043, 2.493965732400261, 2.8285956945429]","[0.999344191225669, 0.998913302893817, 0.9984407613861944, 0.9979804744091778, 0.9975434932330892]","[0.9934641785507968, 0.9884444464636611, 0.9842870219690393, 0.9796993385699281, 0.9748363467435882]",1.667997659771546,6.9652577946814365,3.0684232714625113,8.807401278003397,1.815857289980665,2.143336948394319,0.9984444446295895,0.9841462664594027,3835,3.2238247276522003,4.300744768842139,1.9471970259617675,0.9805275059696399
NVIDIA Corporation,3072,768,"[0.09688141281368982, 0.13264364972338796, 0.15983614231444113, 0.18319829109697025, 0.2065484256733837]","[8.588871621771721, 12.630674045278495, 15.710078529578306, 18.08286846828084, 20.907115533818843]","[np.float64(0.2488751209287741), np.float64(0.32574788682081507), np.float64(0.3837676020363274), np.float64(0.4380644739616301), np.float64(0.483055558327568)]","[np.float64(37.298181952289184), np.float64(51.90860525127882), np.float64(61.4287567663965), np.float64(69.0901450064841), np.float64(76.6753313363427)]","[2.2133437997008008, 3.1629665865962657, 4.020930349019524, 4.771914152386633, 5.509499111691114]","[4.728258691837796, 7.1759942491688795, 9.135015095210548, 10.575055796254167, 12.324605800429932]","[0.9984184879385848, 0.9972994389301907, 0.9962628247857294, 0.995146006739381, 0.994115479213689]","[0.9795808021864532, 0.9604229398112297, 0.9445377945623915, 0.9297952586357467, 0.9134784977175416]",0.1558215843243746,15.18392163974564,0.3759021284150229,59.28020406255827,3.935730799878867,8.787785926580264,0.9962484475215149,0.9455630585826725,3840,3.8339857557350365,13.663478407353338,4.596031373677624,0.9616347052319287
"Tesla, Inc.",2955,739,"[1.4213676572294422, 2.024222614370453, 2.4340047778225933, 2.8397655512337034, 3.203355736223261]","[7.364573525579279, 10.41847825532004, 12.791028335824933, 14.84203481613045, 16.690660156326913]","[np.float64(3.972612664732362), np.float64(5.51015548753067), np.float64(6.550661150687744), np.float64(7.577253361268209), np.float64(8.469696126240523)]","[np.float64(10.228285946180856), np.float64(14.352097943452717), np.float64(17.588954179782927), np.float64(20.079871434924893), np.float64(22.397687097482375)]","[3.0546725214349117, 4.680456237822093, 6.133151617342813, 7.625483739049137, 9.02176736085169]","[3.1078444954956095, 4.381082871807364, 5.402586273112594, 6.290812808543745, 7.1036422949502604]","[0.9978216882528443, 0.9958269338735904, 0.9941251761438851, 0.9921667373064516, 0.9902475276149488]","[0.9752849652474812, 0.9511723847838832, 0.9264355953045703, 0.9039245420712949, 0.8801662965674983]",2.3845432673758906,12.421355017836323,6.4160757580919014,16.929379320364752,6.103106295300129,5.257193748781914,0.9940376126383441,0.9273967567949455,3694,5.2573161173515555,7.549897082104079,5.005044616431294,0.94752614542051
