company,down,flat,up,total_samples,down_pct,flat_pct,up_pct
Alphabet Inc.,1483,639,1711,3833,0.38690320897469344,0.16671014870858336,0.4463866423167232
"Amazon.com, Inc.",1539,506,1803,3848,0.39994802494802495,0.1314968814968815,0.46855509355509356
Apple Inc.,1443,550,1854,3847,0.375097478554718,0.14296854691967767,0.4819339745256044
"Meta Platforms, Inc.",1297,389,1544,3230,0.40154798761609906,0.12043343653250774,0.4780185758513932
Microsoft Corporation,1455,670,1723,3848,0.3781185031185031,0.1741164241164241,0.44776507276507277
NVIDIA Corporation,1574,408,1871,3853,0.40851284713210484,0.10589151310667012,0.485595639761225
"Tesla, Inc.",1598,300,1809,3707,0.43107634205557055,0.08092797410304829,0.48799568384138114
