actual_dir,down,flat,up
down,0.336376404494382,0.18117977528089887,0.4824438202247191
flat,0.34989043097151207,0.20745069393718044,0.4426588750913075
up,0.33088069674900517,0.17921765898340716,0.48990164426758764
