,company,horizon,down,flat,up
26,"Amazon.com, Inc.",2,0.030534351145038167,0.8702290076335878,0.09923664122137404
27,Apple Inc.,2,0.06164383561643835,0.9246575342465754,0.0136986301369863
28,Apple Inc.,2,0.03139013452914798,0.9551569506726457,0.013452914798206279
29,Apple Inc.,2,0.037037037037037035,0.9259259259259259,0.037037037037037035
30,"Meta Platforms, Inc.",2,0.07,0.93,0.0
31,"Meta Platforms, Inc.",2,0.04568527918781726,0.949238578680203,0.005076142131979695
32,"Meta Platforms, Inc.",2,0.03636363636363636,0.9454545454545454,0.01818181818181818
33,Microsoft Corporation,2,0.0,0.8357142857142857,0.16428571428571428
34,Microsoft Corporation,2,0.0,0.8849557522123894,0.11504424778761062
35,Microsoft Corporation,2,0.0,0.8592592592592593,0.14074074074074075
36,NVIDIA Corporation,2,0.08333333333333333,0.6363636363636364,0.2803030303030303
37,NVIDIA Corporation,2,0.07415730337078652,0.6314606741573033,0.2943820224719101
38,NVIDIA Corporation,2,0.07947019867549669,0.5165562913907285,0.40397350993377484
39,"Tesla, Inc.",2,0.03773584905660377,0.9245283018867925,0.03773584905660377
40,"Tesla, Inc.",2,0.04866180048661801,0.9318734793187348,0.019464720194647202
41,"Tesla, Inc.",2,0.023255813953488372,0.9224806201550387,0.05426356589147287
42,Alphabet Inc.,3,0.006993006993006993,0.7762237762237763,0.21678321678321677
43,Alphabet Inc.,3,0.004640371229698376,0.8584686774941995,0.1368909512761021
44,Alphabet Inc.,3,0.0,0.8133333333333334,0.18666666666666668
45,"Amazon.com, Inc.",3,0.11888111888111888,0.7272727272727273,0.15384615384615385
46,"Amazon.com, Inc.",3,0.06741573033707865,0.8089887640449438,0.12359550561797752
47,"Amazon.com, Inc.",3,0.05755395683453238,0.7697841726618705,0.17266187050359713
48,Apple Inc.,3,0.05714285714285714,0.8571428571428571,0.08571428571428572
49,Apple Inc.,3,0.08755760368663594,0.8456221198156681,0.06682027649769585
50,Apple Inc.,3,0.05228758169934641,0.8300653594771242,0.11764705882352941
51,"Meta Platforms, Inc.",3,0.11224489795918367,0.8775510204081632,0.01020408163265306
52,"Meta Platforms, Inc.",3,0.10182767624020887,0.8903394255874674,0.007832898172323759
53,"Meta Platforms, Inc.",3,0.13008130081300814,0.8373983739837398,0.032520325203252036
54,Microsoft Corporation,3,0.0,0.8,0.2
55,Microsoft Corporation,3,0.0,0.8326086956521739,0.1673913043478261
56,Microsoft Corporation,3,0.0,0.8467153284671532,0.15328467153284672
57,NVIDIA Corporation,3,0.0851063829787234,0.6453900709219859,0.2695035460992908
58,NVIDIA Corporation,3,0.07159904534606205,0.6778042959427207,0.25059665871121717
59,NVIDIA Corporation,3,0.10119047619047619,0.5416666666666666,0.35714285714285715
60,"Tesla, Inc.",3,0.14012738853503184,0.8471337579617835,0.012738853503184714
61,"Tesla, Inc.",3,0.08374384236453201,0.9039408866995073,0.012315270935960592
62,"Tesla, Inc.",3,0.13970588235294118,0.8235294117647058,0.03676470588235294
63,Alphabet Inc.,4,0.0,0.7019867549668874,0.2980132450331126
64,Alphabet Inc.,4,0.0,0.8341232227488151,0.16587677725118483
65,Alphabet Inc.,4,0.0,0.7682119205298014,0.23178807947019867
66,"Amazon.com, Inc.",4,0.09027777777777778,0.7152777777777778,0.19444444444444445
67,"Amazon.com, Inc.",4,0.053691275167785234,0.7986577181208053,0.1476510067114094
68,"Amazon.com, Inc.",4,0.058823529411764705,0.7205882352941176,0.22058823529411764
69,Apple Inc.,4,0.0,1.0,0.0
70,Apple Inc.,4,0.004830917874396135,0.9782608695652174,0.016908212560386472
71,Apple Inc.,4,0.0,0.9759036144578314,0.024096385542168676
72,"Meta Platforms, Inc.",4,0.09009009009009009,0.8828828828828829,0.02702702702702703
73,"Meta Platforms, Inc.",4,0.07909604519774012,0.9067796610169492,0.014124293785310734
74,"Meta Platforms, Inc.",4,0.11510791366906475,0.8345323741007195,0.050359712230215826
75,Microsoft Corporation,4,0.0072992700729927005,0.7737226277372263,0.21897810218978103
76,Microsoft Corporation,4,0.0,0.8963963963963963,0.1036036036036036
77,Microsoft Corporation,4,0.0,0.8493150684931506,0.1506849315068493
78,NVIDIA Corporation,4,0.10077519379844961,0.6589147286821705,0.24031007751937986
79,NVIDIA Corporation,4,0.11483253588516747,0.6602870813397129,0.22488038277511962
80,NVIDIA Corporation,4,0.143646408839779,0.48066298342541436,0.3756906077348066
81,"Tesla, Inc.",4,0.2679738562091503,0.7254901960784313,0.006535947712418301
82,"Tesla, Inc.",4,0.1435523114355231,0.8442822384428224,0.012165450121654502
83,"Tesla, Inc.",4,0.2222222222222222,0.762962962962963,0.014814814814814815
84,Alphabet Inc.,5,0.0,0.743421052631579,0.2565789473684211
85,Alphabet Inc.,5,0.0,0.8389423076923077,0.16105769230769232
86,Alphabet Inc.,5,0.0,0.7948717948717948,0.20512820512820512
87,"Amazon.com, Inc.",5,0.10416666666666667,0.7361111111111112,0.1597222222222222
88,"Amazon.com, Inc.",5,0.15935334872979215,0.6951501154734411,0.14549653579676675
89,"Amazon.com, Inc.",5,0.08,0.6733333333333333,0.24666666666666667
90,Apple Inc.,5,0.0,0.972972972972973,0.02702702702702703
91,Apple Inc.,5,0.0,0.9926650366748166,0.007334963325183374
92,Apple Inc.,5,0.0,0.9647058823529412,0.03529411764705882
93,"Meta Platforms, Inc.",5,0.12389380530973451,0.8761061946902655,0.0
94,"Meta Platforms, Inc.",5,0.06406685236768803,0.9275766016713092,0.008356545961002786
95,"Meta Platforms, Inc.",5,0.12878787878787878,0.8409090909090909,0.030303030303030304
96,Microsoft Corporation,5,0.007246376811594203,0.7246376811594203,0.26811594202898553
97,Microsoft Corporation,5,0.0,0.7968397291196389,0.20316027088036118
98,Microsoft Corporation,5,0.0,0.773972602739726,0.22602739726027396
99,NVIDIA Corporation,5,0.0948905109489051,0.6642335766423357,0.24087591240875914
100,NVIDIA Corporation,5,0.06746987951807229,0.6289156626506024,0.3036144578313253
101,NVIDIA Corporation,5,0.10795454545454546,0.48863636363636365,0.4034090909090909
102,"Tesla, Inc.",5,0.2962962962962963,0.691358024691358,0.012345679012345678
103,"Tesla, Inc.",5,0.17206982543640897,0.8079800498753117,0.0199501246882793
104,"Tesla, Inc.",5,0.23529411764705882,0.7426470588235294,0.022058823529411766
