,company,horizon,down,flat,up
0,Alphabet Inc.,1,0.15763546798029557,0.5812807881773399,0.26108374384236455
1,Alphabet Inc.,1,0.14326647564469913,0.5530085959885387,0.3037249283667622
2,Alphabet Inc.,1,0.06395348837209303,0.5116279069767442,0.42441860465116277
3,"Amazon.com, Inc.",1,0.30049261083743845,0.4630541871921182,0.23645320197044334
4,"Amazon.com, Inc.",1,0.24376731301939059,0.4626038781163435,0.29362880886426596
5,"Amazon.com, Inc.",1,0.17177914110429449,0.37423312883435583,0.4539877300613497
6,Apple Inc.,1,0.3399014778325123,0.5369458128078818,0.12315270935960591
7,Apple Inc.,1,0.1636904761904762,0.7410714285714286,0.09523809523809523
8,Apple Inc.,1,0.1276595744680851,0.6702127659574468,0.20212765957446807
9,"Meta Platforms, Inc.",1,0.2986111111111111,0.5833333333333334,0.11805555555555555
10,"Meta Platforms, Inc.",1,0.14,0.7533333333333333,0.10666666666666667
11,"Meta Platforms, Inc.",1,0.15625,0.675,0.16875
12,Microsoft Corporation,1,0.21195652173913043,0.40217391304347827,0.3858695652173913
13,Microsoft Corporation,1,0.07336956521739131,0.4048913043478261,0.5217391304347826
14,Microsoft Corporation,1,0.05142857142857143,0.34285714285714286,0.6057142857142858
15,NVIDIA Corporation,1,0.21465968586387435,0.4397905759162304,0.34554973821989526
16,NVIDIA Corporation,1,0.12968299711815562,0.42363112391930835,0.44668587896253603
17,NVIDIA Corporation,1,0.07894736842105263,0.3736842105263158,0.5473684210526316
18,"Tesla, Inc.",1,0.6,0.3116279069767442,0.08837209302325581
19,"Tesla, Inc.",1,0.403125,0.440625,0.15625
20,"Tesla, Inc.",1,0.3048780487804878,0.4329268292682927,0.2621951219512195
21,Alphabet Inc.,2,0.08071748878923767,0.5381165919282511,0.3811659192825112
22,Alphabet Inc.,2,0.054982817869415807,0.5257731958762887,0.41924398625429554
23,Alphabet Inc.,2,0.02857142857142857,0.45714285714285713,0.5142857142857142
24,"Amazon.com, Inc.",2,0.3273542600896861,0.31390134529147984,0.35874439461883406
25,"Amazon.com, Inc.",2,0.2980769230769231,0.2948717948717949,0.40705128205128205
26,"Amazon.com, Inc.",2,0.23958333333333334,0.3229166666666667,0.4375
