horizon,feature,importance
1,lag_0,0.29968060741130825
1,lag_8,0.2552790964078053
1,lag_7,0.24788810894163565
1,lag_2,0.2150307802529999
1,lag_1,0.21056805429572495
1,lag_6,0.19749129078640865
1,lag_ret_1,0.19224897574656025
1,bb_lower,0.18607482403726436
1,lag_5,0.1737439324186178
1,lag_9,0.16883524839000405
1,lag_4,0.15332294884104775
1,bb_upper,0.15216080225672576
1,bb_middle,0.10787057772671003
1,rel_vol_20,0.0966778934008142
1,lag_3,0.09152854924365321
1,atr_14,0.0788116182761929
1,log_ret_vol,0.07227712631150977
1,rolling_vol_20,0.06959098955414737
1,lag_ret_3,0.06582753343488047
1,lag_ret_5,0.06021809594600819
1,rsi_14,0.05509847446151266
2,lag_0,0.21954440338396322
2,lag_5,0.21745808774854325
2,bb_lower,0.20588693129799496
2,lag_8,0.19467041847687808
2,bb_upper,0.19357341897381178
2,lag_2,0.18606874442614021
2,lag_7,0.17411676054757255
2,lag_1,0.15847501723355303
2,lag_4,0.1506875463578594
2,lag_9,0.13469839083164353
2,lag_3,0.12214978862312201
2,lag_ret_1,0.11321460092160315
2,lag_6,0.11261601296232292
2,atr_14,0.1013799632352749
2,bb_middle,0.09891691009200242
2,rel_vol_20,0.06881130344125737
2,rolling_vol_20,0.06532190516241133
2,lag_ret_3,0.06117400012172799
2,lag_ret_5,0.06095930402905614
2,rsi_14,0.05228523642879628
2,log_ret_vol,0.04650805928183492
3,bb_lower,0.23854615056814765
3,bb_upper,0.2261951295100722
3,lag_0,0.21375459668788555
3,lag_4,0.1963468425640624
3,lag_9,0.178036667091194
3,lag_5,0.15862516924588813
3,lag_2,0.14569172827299168
3,lag_6,0.1390854960797015
3,lag_8,0.1378935552078482
3,lag_7,0.12443812127275726
3,lag_1,0.12347842745374946
3,bb_middle,0.10527138288367388
3,atr_14,0.09845649959140514
3,lag_ret_1,0.08964338407794824
3,lag_3,0.08381531651190897
3,rolling_vol_20,0.06733100401665319
3,rel_vol_20,0.06241206430043079
3,lag_ret_5,0.060769016666625986
3,lag_ret_3,0.05956418996805874
3,rsi_14,0.05916751354919073
3,log_ret_vol,0.042512964964500355
4,bb_lower,0.2722374947998825
4,lag_9,0.23210779987472543
4,bb_upper,0.21859383291286108
4,lag_0,0.21538180864459003
4,lag_5,0.1923875286370533
4,lag_8,0.17593149423752577
4,lag_4,0.15958339394175378
4,lag_7,0.15934791008764138
4,lag_3,0.15290368157354625
4,lag_1,0.1459118566914633
4,lag_2,0.1419047221257148
4,lag_6,0.1341494472088247
4,bb_middle,0.1323228331580381
4,atr_14,0.12607281855012165
4,lag_ret_1,0.07454430849439267
4,rolling_vol_20,0.07283603463358436
4,lag_ret_5,0.06888555155746913
4,rsi_14,0.06576839763270412
4,rel_vol_20,0.055341464061724854
4,lag_ret_3,0.052237080948403514
4,log_ret_vol,0.03666065514807637
5,bb_lower,0.3074429241208333
5,lag_9,0.23949722737590376
5,bb_upper,0.23338874529012757
5,lag_0,0.18531388559980824
5,lag_1,0.18065438665569195
5,lag_5,0.17763631598086152
5,lag_7,0.17463921261332452
5,lag_2,0.1740038345233082
5,lag_8,0.16614288378008915
5,lag_6,0.151178527430313
5,lag_4,0.1361476602410202
5,bb_middle,0.13199210822802826
5,atr_14,0.13094014090169148
5,lag_3,0.10434787895186651
5,rolling_vol_20,0.08025092439190107
5,rsi_14,0.06480487896564167
5,lag_ret_1,0.06358164384623152
5,lag_ret_5,0.06223217123047309
5,rel_vol_20,0.04781544732977022
5,lag_ret_3,0.04429348649542988
5,log_ret_vol,0.03325140435731211
