,company,horizon,down,flat,up
0,Alphabet Inc.,1,0.056910569105691054,0.7723577235772358,0.17073170731707318
1,Alphabet Inc.,1,0.01609657947686117,0.7967806841046278,0.18712273641851107
2,Alphabet Inc.,1,0.009615384615384616,0.625,0.36538461538461536
3,"Amazon.com, Inc.",1,0.1297709923664122,0.8015267175572519,0.06870229007633588
4,"Amazon.com, Inc.",1,0.06109979633401222,0.8818737270875764,0.05702647657841141
5,"Amazon.com, Inc.",1,0.06666666666666667,0.8095238095238095,0.12380952380952381
6,Apple Inc.,1,0.07575757575757576,0.8863636363636364,0.03787878787878788
7,Apple Inc.,1,0.018292682926829267,0.975609756097561,0.006097560975609756
8,Apple Inc.,1,0.019417475728155338,0.941747572815534,0.038834951456310676
9,"Meta Platforms, Inc.",1,0.10975609756097561,0.8536585365853658,0.036585365853658534
10,"Meta Platforms, Inc.",1,0.018223234624145785,0.9498861047835991,0.03189066059225513
11,"Meta Platforms, Inc.",1,0.024096385542168676,0.9156626506024096,0.060240963855421686
12,Microsoft Corporation,1,0.032520325203252036,0.8048780487804879,0.16260162601626016
13,Microsoft Corporation,1,0.00808080808080808,0.8606060606060606,0.13131313131313133
14,Microsoft Corporation,1,0.01834862385321101,0.7522935779816514,0.22935779816513763
15,NVIDIA Corporation,1,0.018518518518518517,0.6481481481481481,0.3333333333333333
16,NVIDIA Corporation,1,0.008032128514056224,0.6445783132530121,0.3473895582329317
17,NVIDIA Corporation,1,0.0,0.5327868852459017,0.4672131147540984
18,"Tesla, Inc.",1,0.08396946564885496,0.9083969465648855,0.007633587786259542
19,"Tesla, Inc.",1,0.05021834061135371,0.9235807860262009,0.026200873362445413
20,"Tesla, Inc.",1,0.00909090909090909,0.9454545454545454,0.045454545454545456
21,Alphabet Inc.,2,0.00684931506849315,0.7671232876712328,0.22602739726027396
22,Alphabet Inc.,2,0.002188183807439825,0.8643326039387309,0.13347921225382933
23,Alphabet Inc.,2,0.0,0.768595041322314,0.23140495867768596
24,"Amazon.com, Inc.",2,0.02666666666666667,0.9266666666666666,0.04666666666666667
25,"Amazon.com, Inc.",2,0.02242152466367713,0.9349775784753364,0.042600896860986545
26,"Amazon.com, Inc.",2,0.0,0.9312977099236641,0.06870229007633588
27,Apple Inc.,2,0.06164383561643835,0.9246575342465754,0.0136986301369863
28,Apple Inc.,2,0.02242152466367713,0.9708520179372198,0.006726457399103139
29,Apple Inc.,2,0.014814814814814815,0.9629629629629629,0.022222222222222223
