horizon,model,calibration,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
4,ensemble,temperature,0.518078323194589,0.28667921143570807,0.21110766888267912,0.35090599340817163,0.3083281505679621,0.12162118517114955,0.14546367373679572,0.6786115149649973,0.5829248366013072,0.72674777006248,0.10075816157232238,0.1660313971410193,0.1610281083620358,0.26124354932600985
5,ensemble,temperature,0.522452235863462,0.27599011726417105,0.19022799964048406,0.2579983859660158,0.17975488064094927,0.10778382346881236,0.11721564016510867,0.5199353302402842,0.30418524871355057,0.6313085938731378,0.06950035186488389,0.14317210166319239,0.1334057972839526,0.24712077918319728
1,stacked,meta,0.67669872001741,0.27397935903401516,0.012054264693013276,0.05982905982905983,0.05322997416020672,0.00423728813559322,0.00834617360041089,0.25,0.16666666666666666,0.8,0.0069965017491254375,0.009523809523809523,0.020151900852595505,0.003944155626727198
2,stacked,meta,0.6163666435472288,0.2598538094995732,0.006818299715122219,0.19746376811594202,0.12448370343107185,0.004584417349435018,0.008915104503339797,0.6527777777777778,0.5357142857142857,0.75,0.012121212121212121,0.008179867691757553,0.010000771402160711,0.003634742384364855
3,stacked,meta,0.5981642137233809,0.2514091953876284,0.008677096984801748,0.1640625,0.12037037037037036,0.0014600919727710826,0.0027801387497285285,0.375,0.0,0.6666666666666666,0.0,0.005093304927604845,0.014986316106399462,0.0023645365182281305
4,stacked,meta,0.558882376918908,0.26885538761570266,0.09833521404877074,0.18569674647022713,0.12371738898429238,0.06424924576467858,0.07232571040812585,0.4441176470588235,0.6202686202686203,0.5079478346456693,0.06403599414449324,0.07616293062368726,0.07094415702087101,0.12571869106424105
5,stacked,meta,0.5666235874457101,0.2584397998349029,0.03663740157362542,0.15989159891598917,0.11757164404223228,0.018670659770546334,0.03177383734158983,0.48708133971291867,0.5906432748538011,0.6447368421052632,0.04262295590539024,0.027776360325131533,0.047625446312119804,0.025653332857854823
1,tcn,isotonic,0.6741730609768946,0.2788435554941199,0.022857142857142857,0.10952380952380952,0.059895833333333336,0.01416256157635468,0.021616541353383457,0.26744186046511625,0.3125,0.5142857142857142,0.01098901098901099,0.029556650246305417,0.014167650531286895,0.03157063930544594
2,tcn,isotonic,0.5718672888327893,0.28272377636646945,0.1297748408502723,0.19685907997325267,0.12537404202175065,0.06837179584267188,0.0858069077892053,0.5223954472462008,0.5134959349593495,0.4139097744360902,0.07358967769184488,0.0838514173032968,0.07502968508438682,0.18453676352228482
3,tcn,isotonic,0.559257515064432,0.2669315592168741,0.12178678703545083,0.3074612558987559,0.24432974544535024,0.05937200092868761,0.06871166180880647,0.6014491888125809,0.3717691622103387,0.7253119429590018,0.058379873261905926,0.07237009233125362,0.09311298736926085,0.15043979362338547
4,tcn,isotonic,0.5393172548881405,0.27454676951994333,0.1461424431397322,0.2033440560312317,0.11322975093301701,0.07088551221777567,0.08910812824784166,0.5077126054912743,0.8083333333333333,0.5128314007294899,0.06380759997181984,0.1032818480715452,0.08718437345943643,0.20514333898256992
5,tcn,isotonic,0.5782280929520868,0.24759974074808094,0.008718449437473798,0.3146853146853147,0.3081723027375201,0.002605846365554614,0.004806900619462933,0.40555555555555556,0.0,0.4125,0.0,0.008047015129097352,0.0015741833923652107,0.015874696550695355
1,tcn,platt,0.6820548343759094,0.2703238171592043,0.0019704433497536944,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.003935458480913027,0.0
2,tcn,platt,0.6018465212896796,0.2646957205438376,0.052341597796143245,0.2556390977443609,0.13572854291417166,0.03432609793033821,0.036936447582835416,0.6071428571428571,0.7142857142857143,0.6,0.01152073732718894,0.04477611940298508,0.007870916961826053,0.09681227863046045
3,tcn,platt,0.5828333855090347,0.25901426225419877,0.06572215663124754,0.2634730538922156,0.13902053712480253,0.04068423485899214,0.040949278734295026,0.6330935251798561,0.8947368421052632,0.5916666666666667,0.028239202657807307,0.04589528118939884,0.028728846910665094,0.10271546635183
4,tcn,platt,0.573210451147002,0.25850524576488393,0.06296733569460843,0.30625,0.15629984051036683,0.04516129032258064,0.04347826086956522,0.6950354609929078,0.9375,0.664,0.02613240418118467,0.0494047619047619,0.023219205037386857,0.10271546635183
5,tcn,platt,0.5820929863946679,0.24524062584777595,0.00023730422401518748,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.00047460844803037496,0.0
1,tcn,raw,0.31094289417337734,0.22594050706990074,0.7555426195825985,0.17445462483738042,0.12265331396663205,0.410266433447836,0.3438083650734044,0.5258812828225443,0.5040185388297818,0.5336092387110263,0.31286170267818586,0.35764390145806896,0.6798953716598335,0.8312781075471879
2,tcn,raw,0.2652787903612795,0.20480973933338967,0.8536956081018623,0.19915619300879792,0.1502833133823789,0.44159459516478045,0.3743403142818851,0.5177389305692364,0.559007473095782,0.4918901286916645,0.35359499617482765,0.3838940741728352,0.7937282682775546,0.9136905193779089
3,tcn,raw,0.3431603302611573,0.22723821135076078,0.6630735333455043,0.2015266716440484,0.1270619927507418,0.33478469951438605,0.28840950455974296,0.5027965047226176,0.5235307943310483,0.4907514417816339,0.28323821597576854,0.27059502629683696,0.6366218726444985,0.6894738164073668
4,tcn,raw,0.2815443696074399,0.18914534865280339,0.8057292833680696,0.2039295819985318,0.12742790124718809,0.39353203318771657,0.30953801764454286,0.4862758749486886,0.5079650132581538,0.4716788201115442,0.2914610238121718,0.31641809935867765,0.7197551399535719,0.8917997551699987
5,tcn,raw,0.28941160307669583,0.20597466339389187,0.7703149694590412,0.19884764043945086,0.13288192228658666,0.3744621069452852,0.3111322153678092,0.4824111277803202,0.5118501937632616,0.4659396968635675,0.29501386712763555,0.29211767563633123,0.7444923220349882,0.7961110950868848
1,tcn,temperature,0.36442065035334625,0.2443141447764015,0.6512480251112619,0.17617544675235702,0.1177281532013238,0.35222340378258055,0.3042667279971063,0.528771051126591,0.49453760979468664,0.538181153349196,0.2745363344483665,0.31211997642105976,0.5645688693156158,0.738054891966092
2,tcn,temperature,0.3116441242153084,0.22858654955069097,0.7492849937276745,0.2006120260524989,0.15018595884083769,0.3886570845747818,0.3364901951596921,0.5150016575976408,0.5749137873295868,0.48487240892312883,0.315112689963474,0.3454794571820846,0.7006169308609509,0.7979651546241274
3,tcn,temperature,0.36756863623994074,0.23073734837808196,0.6035844466877319,0.20361081000215278,0.12711045110201896,0.30386257793661403,0.26143782201324456,0.503296733750048,0.5219650416766249,0.4230868610777723,0.25594439340495817,0.2451644960183715,0.5830137468761681,0.6241015091017488
4,tcn,temperature,0.30268103681017566,0.19713513590066936,0.7546305716941278,0.20725663693439952,0.12880697665682186,0.37186633064408353,0.29427295928151154,0.49231724960062745,0.5375944841179322,0.47450868464033036,0.2745488090138339,0.30226765108550546,0.6816766011450731,0.827676475572962
5,tcn,temperature,0.31061002210949135,0.21083562995249686,0.7199091429076844,0.1969495209575384,0.12847319892294853,0.3524797138097266,0.2917908369844158,0.4775244846489726,0.5346195172379505,0.4521013480958813,0.28710935438661483,0.25711171052776655,0.6980338473188211,0.7417540059837374
