horizon,company,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
1,Alphabet Inc.,tcn,raw,0.0,0.35721660733257565,0.296398891966759,0.2185262828743754,0.7562326869806094,0.16666666666666666,0.10244956510686205,0.4008810572687225,0.3135778635778636,0.5229885057471264,0.47761194029850745,0.5514018691588785,0.25396825396825395,0.35903361344537815,0.6204986149584487,0.8919667590027701
1,Alphabet Inc.,tcn,raw,0.02,0.35578296698322776,0.29916897506925205,0.21494218200100554,0.7506925207756233,0.16605166051660517,0.09523809523809523,0.3964757709251101,0.30405405405405406,0.5202312138728323,0.47761194029850745,0.5471698113207547,0.25396825396825395,0.3411764705882353,0.6177285318559557,0.8836565096952909
1,Alphabet Inc.,tcn,raw,0.04,0.35428075821594035,0.29916897506925205,0.21464926396090353,0.7437673130193906,0.16387337057728119,0.09416800428036383,0.3876651982378855,0.3003412969283277,0.5176470588235295,0.46153846153846156,0.5523809523809524,0.24193548387096775,0.3431952662721893,0.6121883656509696,0.8753462603878116
1,Alphabet Inc.,tcn,raw,0.06,0.35557831651622174,0.30193905817174516,0.2165081181603605,0.7409972299168975,0.16448598130841122,0.09447128287707997,0.3876651982378855,0.3003412969283277,0.5176470588235295,0.46153846153846156,0.5523809523809524,0.24193548387096775,0.3431952662721893,0.6066481994459834,0.8753462603878116
1,Alphabet Inc.,tcn,raw,0.08,0.3578114998617651,0.3074792243767313,0.22001351419734894,0.7340720221606648,0.1660377358490566,0.09508373851971907,0.3876651982378855,0.3013698630136986,0.5207100591715976,0.46153846153846156,0.5576923076923077,0.24193548387096775,0.34523809523809523,0.6011080332409973,0.8670360110803325
1,Alphabet Inc.,tcn,raw,0.1,0.356618298869171,0.30886426592797783,0.22049311559398013,0.724376731301939,0.16443594646271512,0.09429824561403509,0.3788546255506608,0.2986111111111111,0.5212121212121212,0.46774193548387094,0.5533980582524272,0.2396694214876033,0.3413173652694611,0.5872576177285319,0.8614958448753463
1,Alphabet Inc.,tcn,raw,0.12,0.35853666914381166,0.31301939058171746,0.223211478953712,0.7202216066481995,0.16538461538461538,0.09476584022038569,0.3788546255506608,0.2986111111111111,0.5212121212121212,0.46774193548387094,0.5533980582524272,0.2396694214876033,0.3413173652694611,0.5817174515235457,0.8587257617728532
1,Alphabet Inc.,tcn,raw,0.14,0.36044870350656316,0.3171745152354571,0.22591400253372085,0.7160664819944599,0.16634429400386846,0.09523809523809523,0.3788546255506608,0.2986111111111111,0.5212121212121212,0.46774193548387094,0.5533980582524272,0.2396694214876033,0.3413173652694611,0.5761772853185596,0.8559556786703602
1,Alphabet Inc.,tcn,raw,0.16,0.36425425584873117,0.3254847645429363,0.23127275873540123,0.7077562326869806,0.16829745596868884,0.09619686800894856,0.3788546255506608,0.2986111111111111,0.5212121212121212,0.46774193548387094,0.5533980582524272,0.2396694214876033,0.3413173652694611,0.5650969529085873,0.850415512465374
1,Alphabet Inc.,tcn,raw,0.18,0.3648861667761002,0.3268698060941828,0.23216001527820052,0.7063711911357341,0.16862745098039217,0.09635854341736695,0.3788546255506608,0.2986111111111111,0.5212121212121212,0.46774193548387094,0.5533980582524272,0.2396694214876033,0.3413173652694611,0.5623268698060941,0.850415512465374
1,Alphabet Inc.,tcn,raw,0.2,0.3667779637291281,0.33102493074792244,0.2348119453339006,0.7022160664819944,0.16962524654832348,0.09684684684684684,0.3788546255506608,0.2986111111111111,0.5212121212121212,0.46774193548387094,0.5533980582524272,0.2396694214876033,0.3413173652694611,0.556786703601108,0.8476454293628809
1,Alphabet Inc.,ensemble,raw,0.0,0.43551100271337007,0.5692520775623269,0.38171379487206786,0.2756232686980609,0.24120603015075376,0.22971465008767736,0.21145374449339208,0.31318343195266274,0.7164179104477612,0.6666666666666666,0.75,0.24691358024691357,0.3681177976952625,0.23822714681440443,0.31301939058171746
