horizon,company,model,calibration,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
1,Alphabet Inc.,tcn,raw,0.32271468144044324,0.2294932593653066,0.7105263157894737,0.16764132553606237,0.09587513935340021,0.3788546255506608,0.2986111111111111,0.5212121212121212,0.46774193548387094,0.5533980582524272,0.2396694214876033,0.3413173652694611,0.5678670360110804,0.853185595567867
1,Alphabet Inc.,ensemble,raw,0.6523545706371191,0.339276145829964,0.09418282548476455,0.27941176470588236,0.2461187214611872,0.08370044052863436,0.1394110476679284,0.76,0.8,0.7333333333333333,0.12294117647058823,0.15389830508474575,0.08587257617728532,0.10249307479224377
1,Alphabet Inc.,tcn,temperature,0.36426592797783935,0.2523753179596586,0.6426592797783933,0.16810344827586207,0.09594095940959409,0.3436123348017621,0.2815884476534296,0.5064935064935064,0.42857142857142855,0.5510204081632653,0.20869565217391303,0.3333333333333333,0.4792243767313019,0.8060941828254847
1,Alphabet Inc.,ensemble,temperature,0.6454293628808865,0.35772058966317805,0.12326869806094183,0.29213483146067415,0.24962406015037594,0.1145374449339207,0.1827027027027027,0.7647058823529411,0.7692307692307693,0.7619047619047619,0.14676056338028168,0.2137372898941689,0.10526315789473684,0.14127423822714683
1,Alphabet Inc.,tcn,platt,0.685595567867036,0.27115858668857845,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,Alphabet Inc.,ensemble,platt,0.685595567867036,0.27115858668857845,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,Alphabet Inc.,tcn,isotonic,0.685595567867036,0.27115858668857845,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,Alphabet Inc.,ensemble,isotonic,0.682825484764543,0.29043991659957474,0.01662049861495845,0.3333333333333333,0.16666666666666666,0.01762114537444934,0.03125,0.6666666666666666,1.0,0.3333333333333333,0.04838709677419355,0.015151515151515152,0.019390581717451522,0.013850415512465374
1,Alphabet Inc.,stacked,meta,0.685595567867036,0.27115858668857845,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,"Amazon.com, Inc.",tcn,raw,0.2896551724137931,0.20927331307777622,0.8234482758620689,0.19430485762144054,0.10984848484848485,0.4915254237288136,0.3493975903614458,0.5742574257425742,0.6063829787234043,0.5462962962962963,0.35403726708074534,0.34502923976608185,0.7575757575757576,0.8895027624309392
1,"Amazon.com, Inc.",ensemble,raw,0.6413793103448275,0.3790432241881149,0.12413793103448276,0.3333333333333333,0.3253968253968254,0.1271186440677966,0.21662245800176833,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.26993355481727577,0.15476190476190477,0.15151515151515152,0.09668508287292818
1,"Amazon.com, Inc.",tcn,temperature,0.4013793103448276,0.2786036036036036,0.6027586206896551,0.19908466819221968,0.11218568665377177,0.3686440677966102,0.30851063829787234,0.5723684210526315,0.5882352941176471,0.5595238095238095,0.2962962962962963,0.3197278911564626,0.5261707988980716,0.6795580110497238
1,"Amazon.com, Inc.",ensemble,temperature,0.6068965517241379,0.38979682693864337,0.20551724137931035,0.28859060402684567,0.27255077658303467,0.18220338983050846,0.27940611185854314,0.7543859649122807,0.7878787878787878,0.7083333333333334,0.3180291153415453,0.23477564102564102,0.23415977961432508,0.17679558011049723
1,"Amazon.com, Inc.",tcn,platt,0.663448275862069,0.2663344407530454,0.013793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.027548209366391185,0.0
1,"Amazon.com, Inc.",ensemble,platt,0.6744827586206896,0.2685337726523888,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,"Amazon.com, Inc.",tcn,isotonic,0.6620689655172414,0.2660016625103907,0.015172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.030303030303030304,0.0
1,"Amazon.com, Inc.",ensemble,isotonic,0.663448275862069,0.3463720546564643,0.06344827586206897,0.3695652173913043,0.3372093023255814,0.07203389830508475,0.13638580660895014,0.8095238095238095,0.8571428571428571,0.7142857142857143,0.18609022556390975,0.08064516129032258,0.0743801652892562,0.052486187845303865
1,"Amazon.com, Inc.",stacked,meta,0.6496551724137931,0.2964439567603456,0.05379310344827586,0.1794871794871795,0.15968992248062017,0.029661016949152543,0.05842321520287622,0.5,0.3333333333333333,0.8,0.04897551224387806,0.06666666666666667,0.08539944903581267,0.022099447513812154
1,Apple Inc.,tcn,raw,0.23724137931034484,0.17890044677814942,0.8482758620689655,0.15121951219512195,0.09342566061763768,0.3974358974358974,0.3092151018380527,0.458128078817734,0.4090909090909091,0.4956521739130435,0.27667140825035563,0.3313953488372093,0.696969696969697,1.0
1,Apple Inc.,ensemble,raw,0.5944827586206897,0.3573550738344746,0.20413793103448277,0.22972972972972974,0.1998873873873874,0.1452991452991453,0.21666666666666667,0.6296296296296297,0.7727272727272727,0.53125,0.19432120674356698,0.22831727205337288,0.17079889807162535,0.23756906077348067
1,Apple Inc.,tcn,temperature,0.2979310344827586,0.22224691304166053,0.7531034482758621,0.1575091575091575,0.09687103808509558,0.36752136752136755,0.30374300496251716,0.4648648648648649,0.4027777777777778,0.504424778761062,0.25282975282975284,0.3352941176470588,0.5234159779614325,0.9834254143646409
1,Apple Inc.,ensemble,temperature,0.5875862068965517,0.3663071490233997,0.22758620689655173,0.23636363636363636,0.20855916892502258,0.16666666666666666,0.24476452193688997,0.639344262295082,0.7692307692307693,0.5428571428571428,0.22947368421052633,0.25,0.19559228650137742,0.2596685082872928
1,Apple Inc.,tcn,platt,0.6772413793103448,0.26918859649122806,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,Apple Inc.,ensemble,platt,0.6772413793103448,0.26918859649122806,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,Apple Inc.,tcn,isotonic,0.6772413793103448,0.26918859649122806,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,Apple Inc.,ensemble,isotonic,0.6772413793103448,0.26918859649122806,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,Apple Inc.,stacked,meta,0.6772413793103448,0.26918859649122806,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0
1,"Meta Platforms, Inc.",tcn,raw,0.5448504983388704,0.358063091129424,0.3588039867109635,0.1712962962962963,0.16480140443274086,0.22699386503067484,0.3034632706942072,0.5441176470588235,0.34782608695652173,0.6444444444444445,0.1590909090909091,0.4082926829268293,0.26578073089701,0.45182724252491696
