horizon,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage,selection
1,ensemble,isotonic,0.0,0.4067259921296416,0.6558182942143015,0.3180902650256036,0.08581284216839778,0.34533707162383637,0.23469425604457342,0.07008110786522863,0.10487267317788387,0.7081833233794018,0.7461111111111112,0.6887643946467475,0.08481720734833571,0.10926500440759009,0.0531334919678651,0.11851639940147336,best_joint
1,ensemble,platt,0.0,0.38170767859450055,0.6836311890557123,0.27063800743053906,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,best_joint
1,ensemble,raw,0.02,0.42534888708364677,0.48602268143439853,0.35199144851638275,0.45071617551667115,0.22091859426741564,0.20807060779816935,0.2976780326038789,0.3700614722807697,0.6340139029246445,0.6609126461952922,0.6158667703424737,0.3160780727259123,0.401733325820648,0.36254275352949356,0.539007439968974,best_joint
1,ensemble,temperature,0.08,0.4280226059473809,0.5227309049480368,0.3629644858144983,0.3687222482118343,0.22841325877477597,0.21474106625320036,0.24761412752599074,0.3302741616357969,0.6400218014938527,0.6583037697682776,0.6256630586940961,0.2749876953480999,0.362365711609942,0.28728889744138425,0.45026912232802235,best_joint
1,stacked,meta,0.02,0.3862378063240254,0.6753194096725824,0.2808579602073533,0.018834291860255474,0.25595238095238093,0.1658862433862434,0.01060340089465955,0.020079298776040626,0.5700000000000001,0.45098039215686275,0.775,0.015955975886289473,0.02363050483351235,0.028184943014299708,0.009469017505180238,best_joint
1,tcn,isotonic,0.0,0.3865008391103207,0.6703084389452431,0.2811915924946065,0.029504132671904208,0.1603174603174603,0.10316627816627816,0.017189543847930755,0.027126862333183666,0.47348484848484845,0.44166666666666665,0.5972222222222222,0.015754822153509603,0.035592978450121306,0.022329116111325105,0.03670086819258089,best_joint
1,tcn,platt,0.08,0.3813976091159956,0.6820548343759094,0.270355444571715,0.002167487684729064,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.004329004329004329,0.0,best_joint
1,tcn,raw,0.2,0.36733266738350984,0.31773208891348803,0.22910213177535238,0.7429948955398683,0.17509661569505855,0.12287703547448905,0.40423455025248867,0.3402160601570002,0.5272814940975341,0.5104285400275553,0.5312000271314686,0.31263280779972613,0.3502571420232637,0.6657882953392508,0.8202967714733721,best_joint
1,tcn,temperature,0.2,0.3780226278831079,0.38884248956753825,0.2532412925270505,0.6059455752263619,0.17917931358831377,0.11912743998282795,0.3281518432915706,0.2891987240451269,0.5286249986854207,0.4902624042258211,0.5415997302542239,0.2554476253951488,0.3008431953933551,0.516931645152604,0.6950953750940939,best_joint
2,ensemble,isotonic,0.0,0.3522146960036584,0.6144053578320479,0.2605636451377073,0.011135474078781593,0.2015533486121721,0.15826118326118327,0.005624595686452164,0.010915520439329963,0.4962962962962963,0.8333333333333334,0.19999999999999998,0.015938913810290622,0.006036217303822937,0.01271269695280738,0.009548907111508406,best_joint
2,ensemble,platt,0.0,0.3494179817706861,0.6187689927576056,0.25477596166910976,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,best_joint
2,ensemble,raw,0.0,0.39347359352236744,0.4370280136781891,0.30838088388341056,0.4765501724886378,0.20696590406195092,0.17912847155455905,0.2658679158761332,0.2988766187346365,0.5190495467866549,0.5332725957355031,0.5119498489350537,0.22625053715239976,0.3424487914861375,0.3399491216411511,0.6133426510240529,best_joint
2,ensemble,temperature,0.02,0.39386663228520735,0.4534732040868521,0.3120291627898681,0.4383284276725963,0.20808390708474836,0.17994050662435238,0.24411900653888768,0.281319507731394,0.5133110236491282,0.5382195753247949,0.5039125527886996,0.21382767200926697,0.3215933743195704,0.3143038382215599,0.5625286195994924,best_joint
2,stacked,meta,0.02,0.3525819367421269,0.6152203823161927,0.2611620761532378,0.010144766771773778,0.10049019607843138,0.0664935064935065,0.005958043723061391,0.011508477619009421,0.24285714285714288,0.29166666666666663,0.4166666666666667,0.014625850340136054,0.010847196021265649,0.012458896030112578,0.007827336126106865,best_joint
2,tcn,isotonic,0.02,0.37052803601440143,0.5685344386446084,0.2861847738495313,0.1432017550837276,0.20701269638290098,0.13412908179261432,0.07758513809652201,0.09580983251787734,0.4974142061998448,0.5410408432147562,0.32569404279930597,0.08796874558521929,0.09114308396996347,0.09278660906689039,0.1936319121706306,best_joint
2,tcn,platt,0.0,0.35766338670218334,0.6008623852585215,0.2649606447288981,0.0566708735360773,0.13066202090592335,0.06906077348066299,0.03785966683493185,0.03924646781789639,0.6147540983606558,0.6,0.6160714285714286,0.013186813186813187,0.04739010989010989,0.011806375442739079,0.10153591595078286,best_joint
2,tcn,raw,0.16,0.3584605309449067,0.2657117773546365,0.2047360175935806,0.8514070648280991,0.19857520155223574,0.1496123454746757,0.43935232833583626,0.3723283996434282,0.5164127550103201,0.5571237688279371,0.491392389871345,0.35021985820796375,0.38297113400971183,0.791364812879599,0.9114774280511817,best_joint
2,tcn,temperature,0.2,0.36979909913289344,0.3379646644505601,0.2402782383816395,0.6925096900000679,0.20791115521993211,0.1552134268819705,0.36349310790916606,0.3205841997144144,0.5250351663137897,0.5914457756451533,0.4920604240842152,0.3059373559243365,0.32483878113986575,0.6500124819091815,0.7350117819881812,best_joint
3,ensemble,isotonic,0.0,0.3504360214371341,0.5719611749094907,0.2665862016641176,0.07508535403845366,0.16734663362952837,0.11018388463939469,0.03645465587393066,0.05091842445821881,0.41202592697157914,0.425,0.4242338961851157,0.012473234273070994,0.07153061224489796,0.027556930604022017,0.12274179196173043,best_joint
3,ensemble,platt,0.0,0.34527568032032824,0.599356068677486,0.25664101389673355,0.01438423645320197,0.2191780821917808,0.1198501872659176,0.0078010726474890294,0.012223071046600458,0.47058823529411764,0.0,0.48484848484848486,0.0,0.019704433497536946,0.0015741833923652107,0.02722967640094712,best_joint
3,ensemble,raw,0.02,0.38317613265908385,0.4412588522760272,0.2997293637143847,0.4339042313145952,0.20678324052723832,0.17682505643864005,0.23219901404053062,0.26923657094851633,0.5021462043914188,0.5892574461093416,0.4612481805713318,0.226699351473848,0.28188663797794006,0.34086324292175607,0.5270326105414971,best_joint
3,ensemble,temperature,0.0,0.3820681489641519,0.42594333545978824,0.29626941853743477,0.4659152368263134,0.20032713747815764,0.17240752966073422,0.24541770894739015,0.2793603005228203,0.48845576428438076,0.5540657879271788,0.4589560592826265,0.23376285314955933,0.2916442584633985,0.3649776315727226,0.566946869394935,best_joint
3,stacked,meta,0.0,0.3480270252126866,0.5970142919047502,0.26257830260799075,0.020949937037950946,0.3659926470588235,0.2904091852735264,0.011699713106982803,0.021184872469537343,0.5377331002331003,0.3,0.7321428571428572,0.009972170686456403,0.029078512902042313,0.02295408260762957,0.018954998193467857,best_joint
3,tcn,isotonic,0.08,0.35741276387577114,0.5589473353492258,0.26996566460848126,0.1292378194634415,0.3047466535271413,0.24214184236485756,0.06714595769852148,0.07667519282045887,0.6075790082607853,0.3822463768115942,0.7324142156862745,0.06795426328647523,0.07899293377552365,0.10424816313583374,0.15419847432100534,best_joint
