horizon,model,calibration,margin,score,dir_acc_operable,dir_f1,operable_share,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1
1,ensemble,isotonic,0.0,0.4067259921296416,0.7081833233794018,0.1048726731778838,0.0858128421683977,0.7461111111111112,0.6887643946467475,0.0848172073483357,0.10926500440759
1,ensemble,platt,0.0,0.3817076785945005,,0.0,0.0,,,0.0,0.0
1,ensemble,raw,0.02,0.4253488870836467,0.6340139029246445,0.3700614722807697,0.4507161755166711,0.6609126461952922,0.6158667703424737,0.3160780727259123,0.401733325820648
1,ensemble,temperature,0.08,0.4280226059473809,0.6400218014938527,0.3302741616357969,0.3687222482118343,0.6583037697682776,0.6256630586940961,0.2749876953480999,0.362365711609942
1,stacked,meta,0.02,0.3862378063240254,0.5700000000000001,0.0200792987760406,0.0188342918602554,0.4509803921568627,0.775,0.0159559758862894,0.0236305048335123
1,tcn,isotonic,0.0,0.3865008391103207,0.4734848484848484,0.0271268623331836,0.0295041326719042,0.4416666666666666,0.5972222222222222,0.0157548221535096,0.0355929784501213
1,tcn,platt,0.08,0.3813976091159956,0.0,0.0,0.002167487684729,0.0,,0.0,0.0
1,tcn,raw,0.2,0.3673326673835098,0.5272814940975341,0.3402160601570002,0.7429948955398683,0.5104285400275553,0.5312000271314686,0.3126328077997261,0.3502571420232637
1,tcn,temperature,0.2,0.3780226278831079,0.5286249986854207,0.2891987240451269,0.6059455752263619,0.4902624042258211,0.5415997302542239,0.2554476253951488,0.3008431953933551
2,ensemble,isotonic,0.0,0.3522146960036584,0.4962962962962963,0.0109155204393299,0.0111354740787815,0.8333333333333334,0.1999999999999999,0.0159389138102906,0.0060362173038229
2,ensemble,platt,0.0,0.3494179817706861,,0.0,0.0,,,0.0,0.0
2,ensemble,raw,0.0,0.3934735935223674,0.5190495467866549,0.2988766187346365,0.4765501724886378,0.5332725957355031,0.5119498489350537,0.2262505371523997,0.3424487914861375
2,ensemble,temperature,0.02,0.3938666322852073,0.5133110236491282,0.281319507731394,0.4383284276725963,0.5382195753247949,0.5039125527886996,0.2138276720092669,0.3215933743195704
2,stacked,meta,0.02,0.3525819367421269,0.2428571428571428,0.0115084776190094,0.0101447667717737,0.2916666666666666,0.4166666666666667,0.014625850340136,0.0108471960212656
2,tcn,isotonic,0.02,0.3705280360144014,0.4974142061998448,0.0958098325178773,0.1432017550837276,0.5410408432147562,0.3256940427993059,0.0879687455852192,0.0911430839699634
2,tcn,platt,0.0,0.3576633867021833,0.6147540983606558,0.0392464678178963,0.0566708735360773,0.6,0.6160714285714286,0.0131868131868131,0.0473901098901098
2,tcn,raw,0.16,0.3584605309449067,0.5164127550103201,0.3723283996434282,0.8514070648280991,0.5571237688279371,0.491392389871345,0.3502198582079637,0.3829711340097118
2,tcn,temperature,0.2,0.3697990991328934,0.5250351663137897,0.3205841997144144,0.6925096900000679,0.5914457756451533,0.4920604240842152,0.3059373559243365,0.3248387811398657
3,ensemble,isotonic,0.0,0.3504360214371341,0.4120259269715791,0.0509184244582188,0.0750853540384536,0.425,0.4242338961851157,0.0124732342730709,0.0715306122448979
3,ensemble,platt,0.0,0.3452756803203282,0.4705882352941176,0.0122230710466004,0.0143842364532019,0.0,0.4848484848484848,0.0,0.0197044334975369
3,ensemble,raw,0.02,0.3831761326590838,0.5021462043914188,0.2692365709485163,0.4339042313145952,0.5892574461093416,0.4612481805713318,0.226699351473848,0.28188663797794
3,ensemble,temperature,0.0,0.3820681489641519,0.4884557642843807,0.2793603005228203,0.4659152368263134,0.5540657879271788,0.4589560592826265,0.2337628531495593,0.2916442584633985
3,stacked,meta,0.0,0.3480270252126866,0.5377331002331003,0.0211848724695373,0.0209499370379509,0.3,0.7321428571428572,0.0099721706864564,0.0290785129020423
3,tcn,isotonic,0.08,0.3574127638757711,0.6075790082607853,0.0766751928204588,0.1292378194634415,0.3822463768115942,0.7324142156862745,0.0679542632864752,0.0789929337755236
3,tcn,platt,0.0,0.3499357829161812,0.6285714285714286,0.040949278734295,0.0659189295552931,0.85,0.5916666666666667,0.0282392026578073,0.0458952811893988
3,tcn,raw,0.04,0.3612847279149636,0.4986190008642403,0.295770723476793,0.6840860945342477,0.5143577305605934,0.4890821396281186,0.2921298265013576,0.27642172241732
3,tcn,temperature,0.1,0.3627343245330942,0.5012554462421644,0.2798584770771756,0.6396101891525579,0.5423487670953555,0.4189462633962696,0.2712303112305352,0.2627442679538764
4,ensemble,isotonic,0.0,0.3540019483410512,0.5353586049441033,0.0728217051664455,0.0852824709251041,0.2613636363636363,0.5858618563058896,0.0149036399036399,0.1014713832798495
4,ensemble,platt,0.0,0.3358738550875616,0.4545454545454545,0.0040355125100887,0.0041379310344827,,0.4545454545454545,0.0,0.0069348127600554
4,ensemble,raw,0.02,0.391770505986666,0.5150486077650717,0.3168615111894622,0.513800080790223,0.4982881304741769,0.506030126467712,0.2350663663933541,0.3548578067003954
4,ensemble,temperature,0.04,0.3917959962841001,0.5216574396870306,0.2858825494890373,0.4304377254289493,0.5267763846842215,0.5004619889635482,0.2233797865133926,0.3108919988046343
4,stacked,meta,0.0,0.3563339290996294,0.520522350278448,0.0974383941703384,0.1282760612923526,0.6269240019240019,0.5276108623429149,0.0899214921338606,0.1004775369788217
4,tcn,isotonic,0.0,0.3559756500255874,0.4744960663923403,0.1069846426163283,0.1707304471308621,0.5741414141414142,0.5224098394830102,0.0883537708668751,0.1170309156072245
4,tcn,platt,0.16,0.3452797459036761,0.6950354609929078,0.0434782608695652,0.0629673356946084,0.9375,0.664,0.0261324041811846,0.0494047619047619
4,tcn,raw,0.0,0.3499847591262802,0.4859482986797589,0.3168497003137411,0.8212977542616151,0.5011796842398151,0.4720353730965477,0.3003114324442766,0.321962486267867
4,tcn,temperature,0.12,0.351346112931416,0.4946717943763122,0.3014626856077133,0.7713862210601704,0.5454057562055059,0.4756725134094775,0.2838149765340232,0.3085592905820396
5,ensemble,isotonic,0.0,0.3484400620299505,0.5388467918693328,0.06314735435186,0.0695843173039919,0.3999999999999999,0.5515834575260805,0.0139634801288936,0.0897725631076183
5,ensemble,platt,0.0,0.3343180328998197,0.3947368421052631,0.0103021978021978,0.0145812807881773,,0.3947368421052631,0.0,0.0159914712153518
5,ensemble,raw,0.06,0.3852925087899791,0.5188871853018521,0.3031530995218743,0.5195608124322801,0.5709942237072222,0.4959890830594428,0.2406105203991755,0.3332413624211413
5,ensemble,temperature,0.02,0.3858638569996317,0.5058839870010573,0.3048326656435641,0.528587278128766,0.5716245392215583,0.4804877669834946,0.2421206205171696,0.3325720029872207
5,stacked,meta,0.0,0.3474546206030768,0.6669158804721114,0.0718250043635258,0.0768607378031041,0.6484920634920635,0.7980952380952381,0.0702708171875773,0.0722321266652429
5,tcn,isotonic,0.0,0.3483789128590611,0.4795027412674471,0.0595554612659891,0.073317893925109,0.330188679245283,0.4793151395173454,0.040650406504065,0.0706575078677448
5,tcn,platt,0.0,0.3326106679048965,0.3888888888888889,0.0058479532163742,0.0071518113768479,0.3571428571428571,0.5,0.0092764378478664,0.0030395136778115
5,tcn,raw,0.12,0.3530301151609558,0.4833741941078484,0.3140835741986866,0.7769835459233855,0.5090643575123798,0.4712825529465094,0.2956773566415476,0.298179729951362
5,tcn,temperature,0.16,0.3526760594977118,0.4788105646951437,0.2904098061444365,0.7140262875519191,0.5343941830447317,0.4479618561515113,0.2864271827646559,0.2534791424554659
