horizon,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
1,ensemble,isotonic,0.0,0.4067259921296416,0.6558182942143015,0.3180902650256036,0.08581284216839778,0.34533707162383637,0.23469425604457342,0.07008110786522863,0.10487267317788387,0.7081833233794018,0.7461111111111112,0.6887643946467475,0.08481720734833571,0.10926500440759009,0.0531334919678651,0.11851639940147336
1,ensemble,isotonic,0.02,0.4039352771502883,0.6552263424656012,0.3135186833688368,0.08218633408256568,0.3283606680734815,0.22553477515526854,0.06429604997770894,0.09673040490953878,0.6922288927005908,0.7275364882795223,0.6508402143995364,0.07829079271519401,0.10089645056936279,0.0506911542793782,0.11370517059889709
1,ensemble,isotonic,0.04,0.4032873331838223,0.656259739727336,0.312367346496681,0.07918249347107709,0.38693888971344076,0.3283681539372321,0.06248006934816898,0.09412373043025586,0.7013955593672575,0.7213445378151261,0.6780838041431262,0.07491697355190116,0.09944114207780697,0.047855270742800014,0.11053223062847191
1,ensemble,isotonic,0.06,0.4036656232994977,0.6576390500721637,0.31311602745089423,0.07681796145137265,0.39866232552470465,0.33862499616434993,0.06248006934816898,0.09457850024222805,0.7246156621156622,0.7582142857142857,0.6929647565240785,0.07572855099786116,0.09962401092427028,0.0454939956542522,0.10816443268056344
1,ensemble,isotonic,0.08,0.403407087957716,0.6579928788530746,0.31253007892999973,0.07598952422243134,0.3956999346677132,0.3364016909721523,0.06160364515886136,0.09307841302785513,0.7200702075702076,0.7582142857142857,0.6929647565240785,0.07572855099786116,0.09688348614292917,0.04431335810997829,0.10768982423253308
1,ensemble,isotonic,0.1,0.4034870196657235,0.6581899231880499,0.31263138603253066,0.07579247988745598,0.39600985202308503,0.33654650265903463,0.06160364515886136,0.09307841302785513,0.7200702075702076,0.7582142857142857,0.6929647565240785,0.07572855099786116,0.09688348614292917,0.043919812261886994,0.10768982423253308
1,ensemble,isotonic,0.12,0.4036142186052784,0.6585840118580008,0.31285086121393035,0.07520134688252987,0.3969713904846235,0.3371918688912153,0.06160364515886136,0.09322057641339086,0.7217670401493931,0.7582142857142857,0.6953457089050309,0.07572855099786116,0.0972080746792258,0.043919812261886994,0.10650592525857885
1,ensemble,isotonic,0.14,0.4033277847590525,0.6583869675230254,0.3124303431008286,0.07500430254755451,0.39586617386216555,0.33666586251725567,0.060987881612063324,0.09245463269009811,0.7201984126984127,0.7582142857142857,0.6929647565240785,0.07572855099786116,0.0958596283239395,0.043919812261886994,0.10611129226726078
1,ensemble,isotonic,0.16,0.40362903479702433,0.6602408863158832,0.3124938130233444,0.07267577530666616,0.39935738934897885,0.33739155961022965,0.060111457422755706,0.0909208356506831,0.7146428571428571,0.7582142857142857,0.6929647565240785,0.07572855099786116,0.09300491501004252,0.04210244106970456,0.10326888587132196
1,ensemble,isotonic,0.18,0.40323720051725426,0.6611821875141258,0.3116426254275423,0.07053637670293497,0.4061200439003079,0.3416935601797415,0.05891089245100429,0.08911815663137558,0.7218418068981979,0.7635164835164835,0.7128060263653483,0.07419772863679419,0.09106257742518774,0.039891524029430823,0.10119986941813867
