,company,horizon,down,flat,up
58,NVIDIA Corporation,3,0.023980815347721823,0.8992805755395683,0.07673860911270983
59,NVIDIA Corporation,3,0.0,0.9047619047619048,0.09523809523809523
60,"Tesla, Inc.",3,0.46496815286624205,0.5031847133757962,0.03184713375796178
61,"Tesla, Inc.",3,0.37530864197530867,0.5703703703703704,0.05432098765432099
62,"Tesla, Inc.",3,0.35555555555555557,0.5703703703703704,0.07407407407407407
63,Alphabet Inc.,4,0.019867549668874173,0.5298013245033113,0.4503311258278146
64,Alphabet Inc.,4,0.04523809523809524,0.611904761904762,0.34285714285714286
65,Alphabet Inc.,4,0.06622516556291391,0.5364238410596026,0.3973509933774834
66,"Amazon.com, Inc.",4,0.18309859154929578,0.5211267605633803,0.29577464788732394
67,"Amazon.com, Inc.",4,0.2483221476510067,0.4899328859060403,0.26174496644295303
68,"Amazon.com, Inc.",4,0.2867647058823529,0.5147058823529411,0.19852941176470587
69,Apple Inc.,4,0.1836734693877551,0.7142857142857143,0.10204081632653061
70,Apple Inc.,4,0.23300970873786409,0.6553398058252428,0.11165048543689321
71,Apple Inc.,4,0.15060240963855423,0.7530120481927711,0.0963855421686747
72,"Meta Platforms, Inc.",4,0.3853211009174312,0.5229357798165137,0.09174311926605505
73,"Meta Platforms, Inc.",4,0.2598870056497175,0.6214689265536724,0.11864406779661017
74,"Meta Platforms, Inc.",4,0.22302158273381295,0.60431654676259,0.17266187050359713
75,Microsoft Corporation,4,0.27007299270072993,0.5328467153284672,0.19708029197080293
76,Microsoft Corporation,4,0.2669683257918552,0.504524886877828,0.22850678733031674
77,Microsoft Corporation,4,0.1643835616438356,0.4931506849315068,0.3424657534246575
78,NVIDIA Corporation,4,0.046511627906976744,0.8217054263565892,0.13178294573643412
79,NVIDIA Corporation,4,0.0673076923076923,0.7932692307692307,0.13942307692307693
80,NVIDIA Corporation,4,0.022099447513812154,0.7624309392265194,0.2154696132596685
81,"Tesla, Inc.",4,0.6013071895424836,0.3137254901960784,0.08496732026143791
82,"Tesla, Inc.",4,0.48655256723716384,0.4547677261613692,0.05867970660146699
83,"Tesla, Inc.",4,0.48148148148148145,0.45185185185185184,0.06666666666666667
84,Alphabet Inc.,5,0.0,0.47368421052631576,0.5263157894736842
85,Alphabet Inc.,5,0.03864734299516908,0.6280193236714976,0.3333333333333333
86,Alphabet Inc.,5,0.00641025641025641,0.5128205128205128,0.4807692307692308
87,"Amazon.com, Inc.",5,0.24647887323943662,0.4859154929577465,0.2676056338028169
88,"Amazon.com, Inc.",5,0.30484988452655887,0.5011547344110855,0.19399538106235567
89,"Amazon.com, Inc.",5,0.34,0.44,0.22
90,Apple Inc.,5,0.08783783783783784,0.8581081081081081,0.05405405405405406
91,Apple Inc.,5,0.11547911547911548,0.8304668304668305,0.05405405405405406
92,Apple Inc.,5,0.09411764705882353,0.8764705882352941,0.029411764705882353
93,"Meta Platforms, Inc.",5,0.16964285714285715,0.7321428571428571,0.09821428571428571
94,"Meta Platforms, Inc.",5,0.11731843575418995,0.7039106145251397,0.1787709497206704
95,"Meta Platforms, Inc.",5,0.11363636363636363,0.6818181818181818,0.20454545454545456
96,Microsoft Corporation,5,0.07971014492753623,0.45652173913043476,0.463768115942029
97,Microsoft Corporation,5,0.09297052154195011,0.5215419501133787,0.3854875283446712
98,Microsoft Corporation,5,0.06164383561643835,0.4657534246575342,0.4726027397260274
99,NVIDIA Corporation,5,0.043795620437956206,0.8175182481751825,0.1386861313868613
100,NVIDIA Corporation,5,0.012106537530266344,0.7651331719128329,0.22276029055690072
101,NVIDIA Corporation,5,0.005681818181818182,0.7784090909090909,0.2159090909090909
102,"Tesla, Inc.",5,0.30864197530864196,0.5,0.19135802469135801
103,"Tesla, Inc.",5,0.14035087719298245,0.6516290726817042,0.20802005012531327
104,"Tesla, Inc.",5,0.125,0.6470588235294118,0.22794117647058823
