company,horizon,down,flat,up
Alphabet Inc.,1,0.09271523178807947,0.019867549668874173,0.8874172185430463
Alphabet Inc.,1,0.09195402298850575,0.011494252873563218,0.896551724137931
Alphabet Inc.,1,0.0955223880597015,0.005970149253731343,0.8985074626865671
"Amazon.com, Inc.",1,0.4707692307692308,0.0,0.5292307692307693
"Amazon.com, Inc.",1,0.5,0.0,0.5
"Amazon.com, Inc.",1,0.3597560975609756,0.0,0.6402439024390244
Apple Inc.,1,0.4709897610921502,0.0,0.5290102389078498
Apple Inc.,1,0.3465346534653465,0.019801980198019802,0.6336633663366337
Apple Inc.,1,0.36936936936936937,0.006006006006006006,0.6246246246246246
"Meta Platforms, Inc.",1,0.5833333333333334,0.003968253968253968,0.4126984126984127
"Meta Platforms, Inc.",1,0.6363636363636364,0.0,0.36363636363636365
"Meta Platforms, Inc.",1,0.47635135135135137,0.006756756756756757,0.5168918918918919
Microsoft Corporation,1,0.20701754385964913,0.014035087719298246,0.7789473684210526
Microsoft Corporation,1,0.17592592592592593,0.046296296296296294,0.7777777777777778
Microsoft Corporation,1,0.1407185628742515,0.020958083832335328,0.8383233532934131
NVIDIA Corporation,1,0.7371794871794872,0.0,0.26282051282051283
NVIDIA Corporation,1,0.6274509803921569,0.0,0.37254901960784315
NVIDIA Corporation,1,0.6410958904109589,0.0,0.3589041095890411
"Tesla, Inc.",1,0.5823529411764706,0.01764705882352941,0.4
"Tesla, Inc.",1,0.5510204081632653,0.0,0.4489795918367347
"Tesla, Inc.",1,0.5516129032258065,0.0064516129032258064,0.44193548387096776
Alphabet Inc.,2,0.048859934853420196,0.0,0.9511400651465798
Alphabet Inc.,2,0.05555555555555555,0.0,0.9444444444444444
Alphabet Inc.,2,0.0440771349862259,0.0027548209366391185,0.953168044077135
"Amazon.com, Inc.",2,0.3256484149855908,0.0,0.6743515850144092
"Amazon.com, Inc.",2,0.3333333333333333,0.0,0.6666666666666666
"Amazon.com, Inc.",2,0.3224852071005917,0.0,0.6775147928994083
Apple Inc.,2,0.6033333333333334,0.0,0.39666666666666667
Apple Inc.,2,0.5614035087719298,0.0,0.43859649122807015
Apple Inc.,2,0.5108108108108108,0.0,0.4891891891891892
"Meta Platforms, Inc.",2,0.46037735849056605,0.0,0.539622641509434
